2025-06-05T09:33:17+00:00
Running ./hyriseMicroBenchmarks
Run on (192 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x48)
  L1 Instruction 48 KiB (x48)
Load Average: 0.34, 0.10, 0.03
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Join_Small<JoinSimdSortMerge>/1",13019,51713,51697.2,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",13019,51646.3,51630.4,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",13019,52221.5,52205.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",13019,51950,51933.5,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",13019,51901.8,51885.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_mean",5,51886.5,51870.5,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_median",5,51901.8,51885.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_stddev",5,225.99,225.988,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_cv",5,871092,871355,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",9547,73226.9,73204.5,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",9547,74358,74336.9,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",9547,74210.3,74185.3,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",9547,73639.2,73617,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",9547,73182.3,73138,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_mean",5,73723.3,73696.3,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_median",5,73639.2,73617,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_stddev",5,544.595,549.845,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_cv",5,1.4774e+06,1.49219e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",6199,113108,113080,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",6199,113219,113176,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",6199,113241,113212,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",6199,113004,112972,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",6199,114036,113997,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_mean",5,113321,113287,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_median",5,113219,113176,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_stddev",5,410.474,407.649,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_cv",5,724442,719671,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",3681,190607,190554,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",3681,190160,190098,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",3681,190039,189985,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",3681,191242,191181,ns,,,,,
