2025-06-05T08:22:47+00:00
Running ./hyriseMicroBenchmarks
Run on (128 X 2250 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x128)
  L1 Instruction 32 KiB (x128)
  L2 Unified 512 KiB (x128)
  L3 Unified 16384 KiB (x32)
Load Average: 0.96, 0.24, 0.35
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
BM_Join_Small<JoinSimdSortMerge>/1",15669,46611.2,46605.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",15669,68418.7,68395.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",15669,49724.6,49718.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",15669,58978.7,58977.6,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",15669,44625.6,44624.8,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_mean",5,53671.8,53664.5,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_median",5,49724.6,49718.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_stddev",5,9910.85,9903.9,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_cv",5,3.69313e+07,3.69104e+07,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",5717,105929,105891,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",5717,67606.4,67606.1,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",5717,107086,107056,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",5717,105621,105593,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",5717,106263,106226,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_mean",5,98501.1,98474.5,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_median",5,105929,105891,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_stddev",5,17279.3,17264.6,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_cv",5,3.50844e+07,3.50642e+07,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",2985,186501,186180,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",2985,186383,186329,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",2985,186987,186909,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",2985,186348,186016,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",2985,186706,186678,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_mean",5,186585,186423,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_median",5,186501,186329,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_stddev",5,264.852,365.663,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_cv",5,283894,392295,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",1902,322427,322337,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",1902,321638,320834,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",1902,321004,320901,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",1902,326798,326706,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",1902,322154,321311,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8_mean",5,322804,322418,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8_median",5,322154,321311,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8_stddev",5,2297.55,2471.37,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8_cv",5,1.42349e+06,1.53302e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",890,647355,647249,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",890,648292,647604,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",890,650478,650466,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",890,647424,647330,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",890,649512,649494,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16_mean",5,648612,648428,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16_median",5,648292,647604,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16_stddev",5,1359.06,1463.4,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16_cv",5,419066,451369,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",374,1.38069e+06,1.37985e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",374,1.37878e+06,1.37878e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",374,1.38237e+06,1.38233e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",374,1.38252e+06,1.37959e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",374,1.38018e+06,1.38018e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32_mean",5,1.38091e+06,1.38014e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32_median",5,1.38069e+06,1.37985e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32_stddev",5,1567.3,1324.58,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32_cv",5,226996,191948,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",103,6.75952e+06,6.75761e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",103,6.74571e+06,6.74419e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",103,6.78926e+06,6.7891e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",103,6.91272e+06,6.91255e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",103,6.86879e+06,6.86877e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1_mean",5,6.8152e+06,6.81444e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1_median",5,6.78926e+06,6.7891e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1_stddev",5,72428.1,73114.9,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1_cv",5,2.12549e+06,2.14588e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2",66,1.00474e+07,1.0047e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2",66,1.02964e+07,1.02911e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2",66,1.03217e+07,1.03214e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2",66,1.02039e+07,1.02037e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2",66,9.97978e+06,9.97849e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2_mean",5,1.01698e+07,1.01683e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2_median",5,1.02039e+07,1.02037e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2_stddev",5,151118,150417,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/2_cv",5,2.97189e+06,2.95853e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4",36,1.89526e+07,1.89496e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4",36,1.99178e+07,1.99177e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4",36,1.69759e+07,1.69755e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4",36,2.29004e+07,2.28956e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4",36,2.13541e+07,2.13536e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4_mean",5,2.00202e+07,2.00184e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4_median",5,1.99178e+07,1.99177e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4_stddev",5,2.26343e+06,2.26236e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/4_cv",5,2.26115e+07,2.26028e+07,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/8",23,3.194e+07,3.194e+07,ns,,,,,
