2025-06-05T08:22:42+00:00
Running ./hyriseMicroBenchmarks
Run on (72 X 4095 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x72)
  L1 Instruction 64 KiB (x72)
  L2 Unified 1024 KiB (x72)
  L3 Unified 116736 KiB (x1)
Load Average: 0.41, 0.10, 0.17
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Join_Small<JoinSimdSortMerge>/1",25320,26289.6,26289.3,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",25320,26360,26358.4,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",25320,26958.9,26957,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",25320,26659.5,26657.8,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1",25320,26621,26620.3,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_mean",5,26577.8,26576.6,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_median",5,26621,26620.3,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_stddev",5,266.583,266.147,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/1_cv",5,2.00606e+06,2.00287e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",12125,42057,42053.9,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",12125,42405.2,42402.9,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",12125,40628.4,40626.3,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",12125,42219.7,42213.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2",12125,42240.7,42238.4,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_mean",5,41910.2,41907,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_median",5,42219.7,42213.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_stddev",5,727.08,726.569,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/2_cv",5,3.46971e+06,3.46753e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",9866,71507.1,71501.2,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",9866,71888.4,71884.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",9866,72204.7,72197.7,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",9866,70394.9,70390.5,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4",9866,71471.2,71462.6,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_mean",5,71493.3,71487.4,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_median",5,71507.1,71501.2,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_stddev",5,683.628,683.085,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/4_cv",5,1.91243e+06,1.91107e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",5323,133183,133172,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",5323,131176,131169,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",5323,132394,132376,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",5323,136256,136251,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8",5323,132277,132267,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8_mean",5,133057,133047,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8_median",5,132394,132376,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8_stddev",5,1925.8,1927.99,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/8_cv",5,2.8947e+06,2.89821e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",2731,264956,264922,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",2731,263677,263639,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",2731,272488,272466,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",2731,260438,260431,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16",2731,260496,260489,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16_mean",5,264411,264389,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16_median",5,263677,263639,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16_stddev",5,4929.37,4923.17,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/16_cv",5,3.72857e+06,3.72418e+06,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",1015,542273,542215,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",1015,550990,550949,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",1015,552248,552222,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",1015,547229,547151,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32",1015,559059,559041,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32_mean",5,550360,550316,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32_median",5,550990,550949,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32_stddev",5,6221.68,6241.26,ns,,,,,
"BM_Join_Small<JoinSimdSortMerge>/32_cv",5,2.26095e+06,2.26825e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",159,4.35282e+06,4.35248e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",159,4.36886e+06,4.36832e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",159,4.35058e+06,4.35033e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",159,4.34314e+06,4.34267e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1",159,4.33973e+06,4.33955e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1_mean",5,4.35103e+06,4.35067e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1_median",5,4.35058e+06,4.35033e+06,ns,,,,,
"BM_Join_Medium<JoinSimdSortMerge>/1_stddev",5,11308.5,11206.4,ns,,,,,
