2025-04-11T11:50:45+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.96, 0.48, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,11.107,11.1068,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2/iterations:5",5,5.85449,5.85454,ms,,,,,,2.09715e+06,2.09715e+06
"BM_JoinLinBin8/1048576/1048576/4/iterations:5",5,3.3462,3.34623,ms,,,,,,2.09715e+06,4.19431e+06
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,2.22397,2.22397,ms,,,,,,2.09715e+06,8.38861e+06
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,4.38187,4.38195,ms,,,,,,3.50617e+06,1.67772e+07
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,3.31621,3.31621,ms,,,,,,1.7408e+06,3.35544e+07
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,1.69362,1.69365,ms,,,,,,874504,6.71089e+07
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.873204,0.873141,ms,,,,,,436230,1.34218e+08
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.558288,0.558243,ms,,,,,,217990,2.68435e+08
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.397829,0.397807,ms,,,,,,108816,5.36871e+08
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.247149,0.247128,ms,,,,,,54536,1.07374e+09
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.136027,0.135994,ms,,,,,,27216,2.14748e+09
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,111.271,111.271,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2/iterations:5",5,58.578,58.5791,ms,,,,,,2.09715e+07,2.09715e+07
"BM_JoinLinBin8/10485760/10485760/4/iterations:5",5,33.8595,33.86,ms,,,,,,2.09715e+07,4.1943e+07
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,23.07,23.0704,ms,,,,,,2.09715e+07,8.38861e+07
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,73.8674,73.8659,ms,,,,,,3.93216e+07,1.67772e+08
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,87.4704,87.469,ms,,,,,,1.95625e+07,3.35544e+08
"BM_JoinLinBin8/10485760/10485760/64/iterations:5",5,54.5393,54.5381,ms,,,,,,9.8386e+06,6.71089e+08
"BM_JoinLinBin8/10485760/10485760/128/iterations:5",5,31.9794,31.9799,ms,,,,,,4.90702e+06,1.34218e+09
"BM_JoinLinBin8/10485760/10485760/256/iterations:5",5,15.3643,15.3644,ms,,,,,,2.45146e+06,2.68435e+09
"BM_JoinLinBin8/10485760/10485760/512/iterations:5",5,7.15781,7.15781,ms,,,,,,1.22471e+06,5.36871e+09
"BM_JoinLinBin8/10485760/10485760/1024/iterations:5",5,3.60546,3.60532,ms,,,,,,613084,1.07374e+10
"BM_JoinLinBin8/10485760/10485760/2048/iterations:5",5,1.90565,1.90549,ms,,,,,,306420,2.14748e+10
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,556.956,556.946,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2/iterations:5",5,292.985,292.975,ms,,,,,,1.04858e+08,1.04858e+08
"BM_JoinLinBin8/52428800/52428800/4/iterations:5",5,169.663,169.638,ms,,,,,,1.04858e+08,2.09715e+08
"BM_JoinLinBin8/52428800/52428800/8/iterations:5",5,112.514,112.515,ms,,,,,,1.04858e+08,4.1943e+08
"BM_JoinLinBin8/52428800/52428800/16/iterations:5",5,594.642,594.599,ms,,,,,,2.12337e+08,8.38861e+08
"BM_JoinLinBin8/52428800/52428800/32/iterations:5",5,537.745,537.746,ms,,,,,,1.05513e+08,1.67772e+09
"BM_JoinLinBin8/52428800/52428800/64/iterations:5",5,322.869,322.87,ms,,,,,,5.29859e+07,3.35544e+09
"BM_JoinLinBin8/52428800/52428800/128/iterations:5",5,191.906,191.884,ms,,,,,,2.64356e+07,6.71089e+09
"BM_JoinLinBin8/52428800/52428800/256/iterations:5",5,106.405,106.388,ms,,,,,,1.32137e+07,1.34218e+10
"BM_JoinLinBin8/52428800/52428800/512/iterations:5",5,54.2503,54.2491,ms,,,,,,6.59911e+06,2.68435e+10
"BM_JoinLinBin8/52428800/52428800/1024/iterations:5",5,27.6467,27.6452,ms,,,,,,3.3039e+06,5.36871e+10
"BM_JoinLinBin8/52428800/52428800/2048/iterations:5",5,14.1691,14.1693,ms,,,,,,1.65153e+06,1.07374e+11
