2025-04-11T12:32:32+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.53, 0.38, 0.28
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches","branch-instructions","branch-misses","cache-misses","cycles","instructions"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,9.46315,9.46083,ms,,,,,,0,1.04858e+06,1.67772e+07,16.8,567.8,3.56687e+07,1.25829e+08
"BM_JoinLinBin8/1048576/1048576/2/iterations:5",5,5.28188,5.28195,ms,,,,,,0,2.09715e+06,9.43721e+06,13,271.2,1.99308e+07,6.81575e+07
"BM_JoinLinBin8/1048576/1048576/4/iterations:5",5,3.19403,3.19402,ms,,,,,,0,4.19431e+06,5.76719e+06,11.6,223.6,1.20659e+07,3.93217e+07
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,2.22483,2.2248,ms,,,,,,0,8.38861e+06,4.19433e+06,13,189.8,8.39819e+06,2.59524e+07
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,4.19846,4.19853,ms,,,,,,0,1.67772e+07,8.06094e+06,630.6,574.6,1.58459e+07,3.91578e+07
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,2.61949,2.61949,ms,,,,,,0,3.35544e+07,4.05916e+06,1816,577,9.89084e+06,1.9708e+07
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,1.3971,1.3971,ms,,,,,,0,6.71089e+07,2.05623e+06,3542,283.6,5.27289e+06,9.97394e+06
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.749156,0.749099,ms,,,,,,0,1.34218e+08,1.03414e+06,7092.4,96.8,2.82516e+06,5.01409e+06
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.489335,0.489279,ms,,,,,,0,2.68435e+08,520695,10954.2,27.2,1.84282e+06,2.52336e+06
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.327603,0.327604,ms,,,,,,0,5.36871e+08,262193,11842.6,6,1.23552e+06,1.26999e+06
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.215677,0.215622,ms,,,,,,0,1.07374e+09,132265,9332.6,8.4,808511,640262
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.122754,0.12275,ms,,,,,,0,2.14748e+09,66818.6,5355,5,459323,323227
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,94.6697,94.6714,ms,,,,,,0,1.04858e+07,1.67772e+08,12.4,2.04909e+06,3.57185e+08,1.25829e+09
"BM_JoinLinBin8/10485760/10485760/2/iterations:5",5,52.9868,52.9877,ms,,,,,,0,2.09715e+07,9.43719e+07,16,2.04271e+06,2.00168e+08,6.81575e+08
"BM_JoinLinBin8/10485760/10485760/4/iterations:5",5,32.546,32.5466,ms,,,,,,0,4.1943e+07,5.76717e+07,11.4,2.03457e+06,1.2293e+08,3.93216e+08
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,23.4108,23.408,ms,,,,,,0,8.38861e+07,4.19431e+07,31.4,2.03617e+06,8.82418e+07,2.59523e+08
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,70.8989,70.9002,ms,,,,,,0,1.67772e+08,8.9129e+07,20799.4,7.74117e+06,2.66927e+08,4.29916e+08
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,83.3155,83.3146,ms,,,,,,0,3.35544e+08,4.48595e+07,5277.6,6.35887e+06,3.13725e+08,2.16285e+08
