2025-04-11T11:47:50+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.22, 0.05, 0.02
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,11.105,11.1048,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2/iterations:5",5,5.55406,5.55414,ms,,,,,,1.57286e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/4/iterations:5",5,3.04014,3.0402,ms,,,,,,1.31072e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,1.72284,1.72285,ms,,,,,,1.17965e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,2.35973,2.35978,ms,,,,,,1.81862e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,1.50667,1.50671,ms,,,,,,903171,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,0.826984,0.826994,ms,,,,,,453637,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.44941,0.449413,ms,,,,,,226308,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.30091,0.300909,ms,,,,,,113092,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.203217,0.203231,ms,,,,,,56457,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.12615,0.126152,ms,,,,,,28293,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.0626065,0.0625036,ms,,,,,,14121,1.04858e+06
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,111.342,111.342,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2/iterations:5",5,55.869,55.8689,ms,,,,,,1.57286e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/4/iterations:5",5,30.2306,30.231,ms,,,,,,1.31072e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,18.0143,18.0145,ms,,,,,,1.17965e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,34.3724,34.3678,ms,,,,,,2.03162e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,38.376,38.3766,ms,,,,,,1.01089e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/64/iterations:5",5,24.6254,24.6259,ms,,,,,,5.08314e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/128/iterations:5",5,12.6251,12.6223,ms,,,,,,2.53543e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/256/iterations:5",5,6.1493,6.14943,ms,,,,,,1.26669e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/512/iterations:5",5,3.21001,3.20996,ms,,,,,,632837,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/1024/iterations:5",5,1.72396,1.72377,ms,,,,,,316783,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2048/iterations:5",5,0.901296,0.901164,ms,,,,,,158331,1.04858e+07
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,556.878,556.851,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2/iterations:5",5,278.82,278.813,ms,,,,,,7.86432e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/4/iterations:5",5,151.772,151.772,ms,,,,,,6.5536e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/8/iterations:5",5,90.3694,90.3509,ms,,,,,,5.89824e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/16/iterations:5",5,241.255,241.253,ms,,,,,,1.09445e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/32/iterations:5",5,247.758,247.749,ms,,,,,,5.43949e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/64/iterations:5",5,148.704,148.703,ms,,,,,,2.73121e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/128/iterations:5",5,91.7073,91.7091,ms,,,,,,1.36274e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/256/iterations:5",5,52.3879,52.3887,ms,,,,,,6.81165e+06,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/512/iterations:5",5,25.4797,25.4801,ms,,,,,,3.40196e+06,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/1024/iterations:5",5,12.0852,12.0854,ms,,,,,,1.70315e+06,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2048/iterations:5",5,6.01385,6.0137,ms,,,,,,851367,5.24288e+07
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,10.8306,10.8307,ms,,,,,,2.09715e+06,1.04858e+06
