2025-04-11T12:26:12+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.46, 0.29, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches","branch-instructions","branch-misses","cache-misses","cycles","instructions"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,9.44812,9.44796,ms,,,,,,0,1.04858e+06,1.67772e+07,16.4,956.8,3.56669e+07,1.25829e+08
"BM_JoinLinBin8/1048576/1048576/2/iterations:5",5,4.99615,4.99618,ms,,,,,,0,1.04858e+06,8.91293e+06,9,69.8,1.88805e+07,6.55361e+07
"BM_JoinLinBin8/1048576/1048576/4/iterations:5",5,2.77653,2.77651,ms,,,,,,0,1.04858e+06,4.98076e+06,10.2,8.6,1.04898e+07,3.53896e+07
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,1.70394,1.70393,ms,,,,,,0,1.04858e+06,3.14576e+06,242.6,3.8,6.43452e+06,2.08406e+07
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,2.29714,2.29717,ms,,,,,,0,1.04858e+06,4.55477e+06,419.2,4.6,8.67189e+06,2.35767e+07
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,1.38746,1.38747,ms,,,,,,0,1.04858e+06,2.29174e+06,969.2,2.4,5.2348e+06,1.18662e+07
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,0.770681,0.770618,ms,,,,,,0,1.04858e+06,1.1592e+06,1949,0.8,2.90631e+06,5.99774e+06
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.418543,0.41853,ms,,,,,,0,1.04858e+06,582621,3975.6,18.8,1.57633e+06,3.01449e+06
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.278611,0.278598,ms,,,,,,0,1.04858e+06,293130,6404.2,19.4,1.04969e+06,1.51641e+06
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.166919,0.166866,ms,,,,,,0,1.04858e+06,147495,5805.4,5.4,625856,762949
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.105699,0.105665,ms,,,,,,0,1.04858e+06,74338.6,4393,4,394593,384373
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.0565402,0.0564574,ms,,,,,,0,1.04858e+06,37519.4,2358,1.8,211005,193970
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,94.6482,94.6466,ms,,,,,,0,1.04858e+07,1.67772e+08,15.8,2.04932e+06,3.57415e+08,1.25829e+09
"BM_JoinLinBin8/10485760/10485760/2/iterations:5",5,50.1838,50.1846,ms,,,,,,0,1.04858e+07,8.9129e+07,8.4,1.53092e+06,1.89393e+08,6.5536e+08
"BM_JoinLinBin8/10485760/10485760/4/iterations:5",5,28.1708,28.1711,ms,,,,,,0,1.04858e+07,4.98074e+07,7.6,1.2539e+06,1.06427e+08,3.53895e+08
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,17.7424,17.7425,ms,,,,,,0,1.04858e+07,3.14573e+07,1628.2,1.12566e+06,6.70446e+07,2.08405e+08
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,33.2973,33.2978,ms,,,,,,0,1.04858e+07,4.98074e+07,791,2.91688e+06,1.2566e+08,2.54935e+08
