2025-04-11T12:48:37+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.37, 0.12, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,15.5729,15.5728,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/20/iterations:5",5,15.6008,15.601,ms,,,,,,2.0974e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/30/iterations:5",5,15.4466,15.4468,ms,,,,,,2.10238e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/40/iterations:5",5,15.2567,15.2569,ms,,,,,,2.11777e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/50/iterations:5",5,14.8773,14.8776,ms,,,,,,2.13342e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/60/iterations:5",5,14.2918,14.2921,ms,,,,,,2.13123e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/70/iterations:5",5,13.3695,13.3697,ms,,,,,,2.08899e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/80/iterations:5",5,12.2031,12.2033,ms,,,,,,1.98357e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/90/iterations:5",5,10.565,10.5565,ms,,,,,,1.81139e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/99/iterations:5",5,9.09248,9.09257,ms,,,,,,1.62411e+06,1.04858e+06
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,157.402,157.403,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/20/iterations:5",5,157.162,157.165,ms,,,,,,2.09759e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/30/iterations:5",5,156.467,156.439,ms,,,,,,2.10328e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/40/iterations:5",5,154.897,154.823,ms,,,,,,2.12175e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/50/iterations:5",5,151.531,151.533,ms,,,,,,2.14532e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/60/iterations:5",5,146.339,146.292,ms,,,,,,2.15197e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/70/iterations:5",5,137.675,137.629,ms,,,,,,2.11113e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/80/iterations:5",5,124.706,124.709,ms,,,,,,1.99649e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/90/iterations:5",5,107.333,107.286,ms,,,,,,1.80055e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/99/iterations:5",5,89.6024,89.6039,ms,,,,,,1.58405e+07,1.04858e+07
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,788.78,788.656,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/20/iterations:5",5,787.843,787.62,ms,,,,,,1.04882e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/30/iterations:5",5,785.277,785.018,ms,,,,,,1.05211e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/40/iterations:5",5,779.388,779.192,ms,,,,,,1.06248e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/50/iterations:5",5,769.955,769.73,ms,,,,,,1.0767e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/60/iterations:5",5,749.602,749.434,ms,,,,,,1.08295e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/70/iterations:5",5,710.868,710.736,ms,,,,,,1.06451e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/80/iterations:5",5,645.541,645.38,ms,,,,,,1.00474e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/90/iterations:5",5,550.902,550.73,ms,,,,,,8.98691e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/99/iterations:5",5,452.827,452.731,ms,,,,,,7.79988e+07,5.24288e+07
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,16.7111,16.6976,ms,,,,,,2.09715e+06,1.04858e+06
