2025-04-11T13:09:08+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.71, 0.87, 0.77
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches","branch-instructions","branch-misses","cache-misses","cycles","instructions"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,14.9777,14.9776,ms,,,,,,0,1.04858e+06,1.44041e+07,845680,513.6,5.65406e+07,1.07599e+08
"BM_JoinLinBin8/1048576/1048576/20/iterations:5",5,14.9571,14.9534,ms,,,,,,0,1.04858e+06,1.43489e+07,844714,763.6,5.63591e+07,1.0716e+08
"BM_JoinLinBin8/1048576/1048576/30/iterations:5",5,14.8077,14.8081,ms,,,,,,0,1.04858e+06,1.42796e+07,833922,570.2,5.58576e+07,1.06541e+08
"BM_JoinLinBin8/1048576/1048576/40/iterations:5",5,14.594,14.5942,ms,,,,,,0,1.04858e+06,1.42028e+07,813168,538.8,5.51436e+07,1.05722e+08
"BM_JoinLinBin8/1048576/1048576/50/iterations:5",5,14.2376,14.2379,ms,,,,,,0,1.04858e+06,1.40979e+07,771746,647,5.34854e+07,1.04573e+08
"BM_JoinLinBin8/1048576/1048576/60/iterations:5",5,13.5229,13.5231,ms,,,,,,0,1.04858e+06,1.39185e+07,711548,419.2,5.11033e+07,1.02837e+08
"BM_JoinLinBin8/1048576/1048576/70/iterations:5",5,12.6089,12.6092,ms,,,,,,0,1.04858e+06,1.3607e+07,627527,426.2,4.76465e+07,1.00207e+08
"BM_JoinLinBin8/1048576/1048576/80/iterations:5",5,11.3991,11.3992,ms,,,,,,0,1.04858e+06,1.3099e+07,522908,342.2,4.30748e+07,9.63454e+07
"BM_JoinLinBin8/1048576/1048576/90/iterations:5",5,9.97077,9.97098,ms,,,,,,0,1.04858e+06,1.23845e+07,403302,151.2,3.76121e+07,9.12435e+07
"BM_JoinLinBin8/1048576/1048576/99/iterations:5",5,8.57669,8.57694,ms,,,,,,0,1.04858e+06,1.16396e+07,291470,141.8,3.23576e+07,8.60845e+07
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,151.454,151.453,ms,,,,,,0,1.04858e+07,1.44022e+08,8.49034e+06,2.05163e+06,5.71805e+08,1.07585e+09
"BM_JoinLinBin8/10485760/10485760/20/iterations:5",5,150.858,150.858,ms,,,,,,0,1.04858e+07,1.43467e+08,8.43051e+06,2.05606e+06,5.69419e+08,1.07141e+09
"BM_JoinLinBin8/10485760/10485760/30/iterations:5",5,150.007,150.01,ms,,,,,,0,1.04858e+07,1.42803e+08,8.33444e+06,2.07973e+06,5.66131e+08,1.06542e+09
"BM_JoinLinBin8/10485760/10485760/40/iterations:5",5,148.231,148.228,ms,,,,,,0,1.04858e+07,1.42099e+08,8.1172e+06,2.10923e+06,5.58866e+08,1.05752e+09
"BM_JoinLinBin8/10485760/10485760/50/iterations:5",5,144.558,144.558,ms,,,,,,0,1.04858e+07,1.41219e+08,7.706e+06,2.14842e+06,5.45368e+08,1.0468e+09
"BM_JoinLinBin8/10485760/10485760/60/iterations:5",5,138.784,138.787,ms,,,,,,0,1.04858e+07,1.39595e+08,7.07263e+06,2.22738e+06,5.23823e+08,1.03014e+09
