2025-04-10T14:28:31+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.57, 0.42, 0.24
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,10.0019,10.0018,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,2.26099,2.26099,ms,,,,,,2.09715e+06,8.38861e+06
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,4.33542,4.33548,ms,,,,,,3.50617e+06,1.67772e+07
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,3.00852,3.00857,ms,,,,,,1.7408e+06,3.35544e+07
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,1.5657,1.56574,ms,,,,,,874504,6.71089e+07
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.843935,0.843957,ms,,,,,,436230,1.34218e+08
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.567886,0.567856,ms,,,,,,217990,2.68435e+08
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.432038,0.432076,ms,,,,,,108816,5.36871e+08
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.26505,0.265055,ms,,,,,,54536,1.07374e+09
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.136659,0.136646,ms,,,,,,27216,2.14748e+09
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,9.99201,9.99217,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/8/iterations:5",5,2.29479,2.2948,ms,,,,,,2.09715e+06,8.38861e+06
"BM_JoinLinBin64/1048576/1048576/16/iterations:5",5,1.77482,1.77481,ms,,,,,,2.09715e+06,1.67772e+07
"BM_JoinLinBin64/1048576/1048576/32/iterations:5",5,1.51286,1.51291,ms,,,,,,2.09715e+06,3.35544e+07
"BM_JoinLinBin64/1048576/1048576/64/iterations:5",5,1.3839,1.38391,ms,,,,,,2.09715e+06,6.71089e+07
"BM_JoinLinBin64/1048576/1048576/128/iterations:5",5,1.46349,1.46348,ms,,,,,,1.35373e+06,1.34218e+08
"BM_JoinLinBin64/1048576/1048576/256/iterations:5",5,0.85187,0.851908,ms,,,,,,676728,2.68435e+08
"BM_JoinLinBin64/1048576/1048576/512/iterations:5",5,0.537527,0.537533,ms,,,,,,338428,5.36871e+08
"BM_JoinLinBin64/1048576/1048576/1024/iterations:5",5,0.329869,0.329854,ms,,,,,,169184,1.07374e+09
"BM_JoinLinBin64/1048576/1048576/2048/iterations:5",5,0.181476,0.181469,ms,,,,,,84616,2.14748e+09
"BM_JoinLinBin128/1048576/1048576/1/iterations:5",5,9.49867,9.49886,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/8/iterations:5",5,2.32244,2.32241,ms,,,,,,2.09715e+06,8.38861e+06
"BM_JoinLinBin128/1048576/1048576/16/iterations:5",5,1.81062,1.81063,ms,,,,,,2.09715e+06,1.67772e+07
"BM_JoinLinBin128/1048576/1048576/32/iterations:5",5,1.57052,1.57053,ms,,,,,,2.09715e+06,3.35544e+07
"BM_JoinLinBin128/1048576/1048576/64/iterations:5",5,1.45696,1.45699,ms,,,,,,2.09715e+06,6.71089e+07
"BM_JoinLinBin128/1048576/1048576/128/iterations:5",5,1.40479,1.40481,ms,,,,,,2.09715e+06,1.34218e+08
"BM_JoinLinBin128/1048576/1048576/256/iterations:5",5,1.18755,1.18759,ms,,,,,,1.20141e+06,2.68435e+08
"BM_JoinLinBin128/1048576/1048576/512/iterations:5",5,0.70006,0.700086,ms,,,,,,600510,5.36871e+08
"BM_JoinLinBin128/1048576/1048576/1024/iterations:5",5,0.403463,0.403453,ms,,,,,,300228,1.07374e+09
"BM_JoinLinBin128/1048576/1048576/2048/iterations:5",5,0.223502,0.22347,ms,,,,,,150112,2.14748e+09
"BM_JoinBin/1048576/1048576/1/iterations:5",5,44.2167,44.2175,ms,,,,,,3.98458e+07,1.04858e+06
"BM_JoinBin/1048576/1048576/8/iterations:5",5,6.54187,6.54196,ms,,,,,,4.9152e+06,8.38861e+06
"BM_JoinBin/1048576/1048576/16/iterations:5",5,3.57896,3.57897,ms,,,,,,2.44942e+06,1.67772e+07
"BM_JoinBin/1048576/1048576/32/iterations:5",5,2.44619,2.4462,ms,,,,,,1.22061e+06,3.35544e+07
"BM_JoinBin/1048576/1048576/64/iterations:5",5,1.31137,1.31136,ms,,,,,,610318,6.71089e+07
"BM_JoinBin/1048576/1048576/128/iterations:5",5,0.7217,0.721697,ms,,,,,,305684,1.34218e+08
"BM_JoinBin/1048576/1048576/256/iterations:5",5,0.485055,0.485082,ms,,,,,,152580,2.68435e+08
"BM_JoinBin/1048576/1048576/512/iterations:5",5,0.370824,0.370839,ms,,,,,,76228,5.36871e+08
"BM_JoinBin/1048576/1048576/1024/iterations:5",5,0.244242,0.244223,ms,,,,,,38158,1.07374e+09
"BM_JoinBin/1048576/1048576/2048/iterations:5",5,0.132462,0.132418,ms,,,,,,19068,2.14748e+09
"BM_JoinExp/1048576/1048576/1/iterations:5",5,9.7177,9.71786,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinExp/1048576/1048576/8/iterations:5",5,2.89227,2.89231,ms,,,,,,2.09714e+06,8.38861e+06
"BM_JoinExp/1048576/1048576/16/iterations:5",5,1.71965,1.71968,ms,,,,,,1.31071e+06,1.67772e+07
"BM_JoinExp/1048576/1048576/32/iterations:5",5,0.966742,0.966733,ms,,,,,,786420,3.35544e+07
"BM_JoinExp/1048576/1048576/64/iterations:5",5,0.672784,0.672712,ms,,,,,,458740,6.71089e+07
"BM_JoinExp/1048576/1048576/128/iterations:5",5,0.556903,0.556889,ms,,,,,,262132,1.34218e+08
"BM_JoinExp/1048576/1048576/256/iterations:5",5,0.366155,0.366175,ms,,,,,,147444,2.68435e+08
"BM_JoinExp/1048576/1048576/512/iterations:5",5,0.18857,0.18846,ms,,,,,,81908,5.36871e+08
"BM_JoinExp/1048576/1048576/1024/iterations:5",5,0.100505,0.100449,ms,,,,,,45044,1.07374e+09
"BM_JoinExp/1048576/1048576/2048/iterations:5",5,0.057096,0.0570288,ms,,,,,,24564,2.14748e+09
