2025-04-10T16:16:38+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.47, 0.59, 0.61
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,11.6912,11.6912,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2/iterations:5",5,5.98684,5.98692,ms,,,,,,2.09715e+06,2.09715e+06
"BM_JoinLinBin8/1048576/1048576/4/iterations:5",5,3.4559,3.45596,ms,,,,,,2.09715e+06,4.19431e+06
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,2.25142,2.25143,ms,,,,,,2.09715e+06,8.38861e+06
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,4.42218,4.42225,ms,,,,,,3.50617e+06,1.67772e+07
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,3.44625,3.44628,ms,,,,,,1.7408e+06,3.35544e+07
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,1.79754,1.79752,ms,,,,,,874504,6.71089e+07
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.903226,0.903201,ms,,,,,,436230,1.34218e+08
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.577319,0.577223,ms,,,,,,217990,2.68435e+08
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.413945,0.413939,ms,,,,,,108816,5.36871e+08
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.264299,0.26433,ms,,,,,,54536,1.07374e+09
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.140391,0.140389,ms,,,,,,27216,2.14748e+09
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,118.718,118.704,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2/iterations:5",5,61.1723,61.1734,ms,,,,,,2.09715e+07,2.09715e+07
"BM_JoinLinBin8/10485760/10485760/4/iterations:5",5,34.5943,34.5949,ms,,,,,,2.09715e+07,4.1943e+07
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,23.4614,23.445,ms,,,,,,2.09715e+07,8.38861e+07
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,74.2886,74.2899,ms,,,,,,3.93216e+07,1.67772e+08
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,87.3768,87.3783,ms,,,,,,1.95625e+07,3.35544e+08
"BM_JoinLinBin8/10485760/10485760/64/iterations:5",5,54.1819,54.1828,ms,,,,,,9.8386e+06,6.71089e+08
"BM_JoinLinBin8/10485760/10485760/128/iterations:5",5,31.9779,31.9784,ms,,,,,,4.90702e+06,1.34218e+09
"BM_JoinLinBin8/10485760/10485760/256/iterations:5",5,15.361,15.3409,ms,,,,,,2.45146e+06,2.68435e+09
"BM_JoinLinBin8/10485760/10485760/512/iterations:5",5,7.21296,7.21286,ms,,,,,,1.22471e+06,5.36871e+09
"BM_JoinLinBin8/10485760/10485760/1024/iterations:5",5,3.63111,3.63086,ms,,,,,,613084,1.07374e+10
"BM_JoinLinBin8/10485760/10485760/2048/iterations:5",5,2.17229,2.17207,ms,,,,,,306420,2.14748e+10
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,584.372,584.364,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2/iterations:5",5,300.751,300.709,ms,,,,,,1.04858e+08,1.04858e+08
"BM_JoinLinBin8/52428800/52428800/4/iterations:5",5,173.257,173.257,ms,,,,,,1.04858e+08,2.09715e+08
"BM_JoinLinBin8/52428800/52428800/8/iterations:5",5,117.246,117.235,ms,,,,,,1.04858e+08,4.1943e+08
"BM_JoinLinBin8/52428800/52428800/16/iterations:5",5,580.561,580.513,ms,,,,,,2.12337e+08,8.38861e+08
"BM_JoinLinBin8/52428800/52428800/32/iterations:5",5,538.331,538.288,ms,,,,,,1.05513e+08,1.67772e+09
"BM_JoinLinBin8/52428800/52428800/64/iterations:5",5,323.389,323.311,ms,,,,,,5.29859e+07,3.35544e+09
"BM_JoinLinBin8/52428800/52428800/128/iterations:5",5,191.679,191.66,ms,,,,,,2.64356e+07,6.71089e+09
"BM_JoinLinBin8/52428800/52428800/256/iterations:5",5,106.631,106.625,ms,,,,,,1.32137e+07,1.34218e+10
"BM_JoinLinBin8/52428800/52428800/512/iterations:5",5,54.941,54.922,ms,,,,,,6.59911e+06,2.68435e+10
"BM_JoinLinBin8/52428800/52428800/1024/iterations:5",5,27.1145,27.1148,ms,,,,,,3.3039e+06,5.36871e+10
"BM_JoinLinBin8/52428800/52428800/2048/iterations:5",5,13.8388,13.8389,ms,,,,,,1.65153e+06,1.07374e+11
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,11.9421,11.9422,ms,,,,,,2.09715e+06,1.04858e+06
