2025-04-10T15:58:01+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.29, 0.48, 0.41
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,8.3496,8.34946,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2/iterations:5",5,5.13852,5.13857,ms,,,,,,0,2.09715e+06
"BM_JoinLinBin8/1048576/1048576/4/iterations:5",5,3.1242,3.12423,ms,,,,,,0,4.19431e+06
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,2.32975,2.32985,ms,,,,,,0,8.38861e+06
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,4.20349,4.20354,ms,,,,,,0,1.67772e+07
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,2.62559,2.62558,ms,,,,,,0,3.35544e+07
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,1.41499,1.41498,ms,,,,,,0,6.71089e+07
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.791705,0.791668,ms,,,,,,0,1.34218e+08
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.560629,0.560612,ms,,,,,,0,2.68435e+08
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.422462,0.422428,ms,,,,,,0,5.36871e+08
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.257123,0.257124,ms,,,,,,0,1.07374e+09
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.139701,0.139685,ms,,,,,,0,2.14748e+09
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,78.5923,78.5936,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2/iterations:5",5,51.6401,51.6248,ms,,,,,,0,2.09715e+07
"BM_JoinLinBin8/10485760/10485760/4/iterations:5",5,31.9906,31.9896,ms,,,,,,0,4.1943e+07
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,24.3409,24.3413,ms,,,,,,0,8.38861e+07
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,71.1876,71.1889,ms,,,,,,0,1.67772e+08
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,84.0521,84.0163,ms,,,,,,0,3.35544e+08
"BM_JoinLinBin8/10485760/10485760/64/iterations:5",5,52.4687,52.4674,ms,,,,,,0,6.71089e+08
"BM_JoinLinBin8/10485760/10485760/128/iterations:5",5,30.5083,30.5088,ms,,,,,,0,1.34218e+09
"BM_JoinLinBin8/10485760/10485760/256/iterations:5",5,15.0532,15.0535,ms,,,,,,0,2.68435e+09
"BM_JoinLinBin8/10485760/10485760/512/iterations:5",5,7.13795,7.13788,ms,,,,,,0,5.36871e+09
"BM_JoinLinBin8/10485760/10485760/1024/iterations:5",5,3.93295,3.93295,ms,,,,,,0,1.07374e+10
"BM_JoinLinBin8/10485760/10485760/2048/iterations:5",5,2.31742,2.3172,ms,,,,,,0,2.14748e+10
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,390.832,390.837,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2/iterations:5",5,258.421,258.409,ms,,,,,,0,1.04858e+08
"BM_JoinLinBin8/52428800/52428800/4/iterations:5",5,160.141,160.142,ms,,,,,,0,2.09715e+08
"BM_JoinLinBin8/52428800/52428800/8/iterations:5",5,122.343,122.327,ms,,,,,,0,4.1943e+08
"BM_JoinLinBin8/52428800/52428800/16/iterations:5",5,582.94,582.892,ms,,,,,,0,8.38861e+08
"BM_JoinLinBin8/52428800/52428800/32/iterations:5",5,522.517,522.453,ms,,,,,,0,1.67772e+09
"BM_JoinLinBin8/52428800/52428800/64/iterations:5",5,309.51,309.434,ms,,,,,,0,3.35544e+09
"BM_JoinLinBin8/52428800/52428800/128/iterations:5",5,182.438,182.422,ms,,,,,,0,6.71089e+09
"BM_JoinLinBin8/52428800/52428800/256/iterations:5",5,102.364,102.335,ms,,,,,,0,1.34218e+10
"BM_JoinLinBin8/52428800/52428800/512/iterations:5",5,53.4002,53.3554,ms,,,,,,0,2.68435e+10
"BM_JoinLinBin8/52428800/52428800/1024/iterations:5",5,27.1806,27.181,ms,,,,,,0,5.36871e+10
"BM_JoinLinBin8/52428800/52428800/2048/iterations:5",5,15.1716,15.1718,ms,,,,,,0,1.07374e+11
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,9.63431,9.63433,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/2/iterations:5",5,5.29103,5.29109,ms,,,,,,0,2.09715e+06
"BM_JoinLinBin64/1048576/1048576/4/iterations:5",5,3.21609,3.21616,ms,,,,,,0,4.19431e+06
"BM_JoinLinBin64/1048576/1048576/8/iterations:5",5,2.24503,2.24502,ms,,,,,,0,8.38861e+06
"BM_JoinLinBin64/1048576/1048576/16/iterations:5",5,1.74945,1.74946,ms,,,,,,0,1.67772e+07
"BM_JoinLinBin64/1048576/1048576/32/iterations:5",5,1.50181,1.50186,ms,,,,,,0,3.35544e+07
"BM_JoinLinBin64/1048576/1048576/64/iterations:5",5,1.39515,1.39515,ms,,,,,,0,6.71089e+07
"BM_JoinLinBin64/1048576/1048576/128/iterations:5",5,1.34187,1.3419,ms,,,,,,0,1.34218e+08
"BM_JoinLinBin64/1048576/1048576/256/iterations:5",5,0.795986,0.795977,ms,,,,,,0,2.68435e+08
"BM_JoinLinBin64/1048576/1048576/512/iterations:5",5,0.501256,0.50128,ms,,,,,,0,5.36871e+08
"BM_JoinLinBin64/1048576/1048576/1024/iterations:5",5,0.301062,0.301058,ms,,,,,,0,1.07374e+09
"BM_JoinLinBin64/1048576/1048576/2048/iterations:5",5,0.169948,0.169943,ms,,,,,,0,2.14748e+09
"BM_JoinLinBin64/10485760/10485760/1/iterations:5",5,94.7381,94.7399,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/2/iterations:5",5,53.3872,53.3875,ms,,,,,,0,2.09715e+07
"BM_JoinLinBin64/10485760/10485760/4/iterations:5",5,32.6361,32.6367,ms,,,,,,0,4.1943e+07
"BM_JoinLinBin64/10485760/10485760/8/iterations:5",5,23.4156,23.4144,ms,,,,,,0,8.38861e+07
"BM_JoinLinBin64/10485760/10485760/16/iterations:5",5,18.7612,18.7486,ms,,,,,,0,1.67772e+08
"BM_JoinLinBin64/10485760/10485760/32/iterations:5",5,16.4423,16.4426,ms,,,,,,0,3.35544e+08
"BM_JoinLinBin64/10485760/10485760/64/iterations:5",5,15.6362,15.6365,ms,,,,,,0,6.71089e+08
"BM_JoinLinBin64/10485760/10485760/128/iterations:5",5,43.8576,43.8585,ms,,,,,,0,1.34218e+09
