2025-04-10T13:28:36+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.63, 0.31, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,92.1516,92.1526,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,18.2371,18.2373,ms,,,,,,1.04858e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,34.2614,34.2623,ms,,,,,,1.95297e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,38.5888,38.5868,ms,,,,,,9.80583e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/64/iterations:5",5,24.8262,24.8266,ms,,,,,,4.90701e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/128/iterations:5",5,13.5122,13.5124,ms,,,,,,2.45556e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/256/iterations:5",5,6.90268,6.88785,ms,,,,,,1.22574e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/512/iterations:5",5,3.7744,3.7598,ms,,,,,,613057,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/1024/iterations:5",5,2.12421,2.12413,ms,,,,,,306445,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2048/iterations:5",5,1.16769,1.16757,ms,,,,,,153365,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/1/iterations:5",5,92.1401,92.0994,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/8/iterations:5",5,17.6023,17.6025,ms,,,,,,1.17965e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/16/iterations:5",5,12.6936,12.6936,ms,,,,,,1.11411e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/32/iterations:5",5,10.2234,10.2234,ms,,,,,,1.08134e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/64/iterations:5",5,9.14184,9.14193,ms,,,,,,1.04858e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/128/iterations:5",5,19.0016,19.0018,ms,,,,,,7.04205e+06,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/256/iterations:5",5,11.2254,11.2255,ms,,,,,,3.5191e+06,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/512/iterations:5",5,6.16465,6.16464,ms,,,,,,1.75993e+06,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/1024/iterations:5",5,2.98927,2.98913,ms,,,,,,880090,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/2048/iterations:5",5,1.39489,1.39471,ms,,,,,,439986,1.04858e+07
