2025-04-10T16:10:19+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.57, 0.61, 0.59
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,11.8113,11.8113,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2/iterations:5",5,5.83325,5.83333,ms,,,,,,1.57286e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/4/iterations:5",5,3.12382,3.12382,ms,,,,,,1.31072e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,1.80499,1.805,ms,,,,,,1.17965e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,2.37952,2.37954,ms,,,,,,1.81862e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,1.5684,1.5684,ms,,,,,,903171,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,0.873033,0.873096,ms,,,,,,453637,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.471663,0.471555,ms,,,,,,226308,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.318064,0.318011,ms,,,,,,113092,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.212171,0.212152,ms,,,,,,56457,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.131206,0.131145,ms,,,,,,28293,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.0646248,0.0645578,ms,,,,,,14121,1.04858e+06
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,117.005,117.006,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2/iterations:5",5,58.5186,58.5035,ms,,,,,,1.57286e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/4/iterations:5",5,31.586,31.5865,ms,,,,,,1.31072e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,18.6405,18.6408,ms,,,,,,1.17965e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,34.745,34.7455,ms,,,,,,2.03162e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,38.9008,38.9014,ms,,,,,,1.01089e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/64/iterations:5",5,24.8733,24.8736,ms,,,,,,5.08314e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/128/iterations:5",5,12.9359,12.9361,ms,,,,,,2.53543e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/256/iterations:5",5,6.37647,6.37542,ms,,,,,,1.26669e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/512/iterations:5",5,3.15779,3.15766,ms,,,,,,632837,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/1024/iterations:5",5,1.63408,1.63395,ms,,,,,,316783,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2048/iterations:5",5,0.8685,0.868168,ms,,,,,,158331,1.04858e+07
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,584.376,584.278,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2/iterations:5",5,293.1,293.011,ms,,,,,,7.86432e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/4/iterations:5",5,158.258,158.228,ms,,,,,,6.5536e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/8/iterations:5",5,93.5584,93.5074,ms,,,,,,5.89824e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/16/iterations:5",5,243.292,243.26,ms,,,,,,1.09445e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/32/iterations:5",5,248.261,248.165,ms,,,,,,5.43949e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/64/iterations:5",5,150.269,150.193,ms,,,,,,2.73121e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/128/iterations:5",5,93.0684,93.0175,ms,,,,,,1.36274e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/256/iterations:5",5,52.7055,52.6958,ms,,,,,,6.81165e+06,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/512/iterations:5",5,25.6371,25.6375,ms,,,,,,3.40196e+06,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/1024/iterations:5",5,11.9406,11.9325,ms,,,,,,1.70315e+06,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2048/iterations:5",5,6.05135,6.0513,ms,,,,,,851367,5.24288e+07
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,11.9356,11.9357,ms,,,,,,2.09715e+06,1.04858e+06
