2025-04-10T14:41:10+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.29, 0.30, 0.29
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,10.0325,10.0323,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,1.77056,1.77055,ms,,,,,,1.17965e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,2.42699,2.42702,ms,,,,,,1.81862e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,1.58056,1.58057,ms,,,,,,903171,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,0.877363,0.87739,ms,,,,,,453637,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.472966,0.472973,ms,,,,,,226308,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.313701,0.313696,ms,,,,,,113092,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.207533,0.20752,ms,,,,,,56457,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.123508,0.123532,ms,,,,,,28293,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.0641607,0.0641166,ms,,,,,,14121,1.04858e+06
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,100.15,100.15,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,18.5606,18.5596,ms,,,,,,1.17965e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,34.8023,34.8029,ms,,,,,,2.03162e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,38.7267,38.7274,ms,,,,,,1.01089e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/64/iterations:5",5,24.9568,24.9571,ms,,,,,,5.08314e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/128/iterations:5",5,13.4446,13.4448,ms,,,,,,2.53543e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/256/iterations:5",5,6.85229,6.85227,ms,,,,,,1.26669e+06,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/512/iterations:5",5,3.7251,3.72511,ms,,,,,,632837,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/1024/iterations:5",5,1.99456,1.99431,ms,,,,,,316783,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2048/iterations:5",5,1.10068,1.10054,ms,,,,,,158331,1.04858e+07
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,501.079,501.037,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/8/iterations:5",5,92.163,92.1647,ms,,,,,,5.89824e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/16/iterations:5",5,242.823,242.806,ms,,,,,,1.09445e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/32/iterations:5",5,248.784,248.784,ms,,,,,,5.43949e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/64/iterations:5",5,150.548,150.538,ms,,,,,,2.73121e+07,5.24288e+07
