2025-04-10T16:03:34+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.83, 0.73, 0.56
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,8.33298,8.33271,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2/iterations:5",5,4.45328,4.4533,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/4/iterations:5",5,2.49891,2.49892,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/8/iterations:5",5,1.63155,1.63157,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/16/iterations:5",5,2.30406,2.30408,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/32/iterations:5",5,1.39834,1.39831,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/64/iterations:5",5,0.773212,0.773198,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/128/iterations:5",5,0.427213,0.427207,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/256/iterations:5",5,0.304454,0.304436,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/512/iterations:5",5,0.217582,0.217552,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/1024/iterations:5",5,0.119314,0.119295,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/2048/iterations:5",5,0.064449,0.0643568,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,78.6144,78.6136,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2/iterations:5",5,44.6671,44.6678,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/4/iterations:5",5,25.4799,25.4801,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/8/iterations:5",5,17.1381,17.1382,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/16/iterations:5",5,33.3588,33.3593,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/32/iterations:5",5,37.4663,37.467,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/64/iterations:5",5,24.204,24.2043,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/128/iterations:5",5,12.4983,12.4984,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/256/iterations:5",5,6.19239,6.19234,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/512/iterations:5",5,3.1283,3.12806,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/1024/iterations:5",5,1.59282,1.5925,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/2048/iterations:5",5,0.875202,0.87491,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,390.7,390.704,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2/iterations:5",5,223.487,223.462,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/4/iterations:5",5,127.772,127.76,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/8/iterations:5",5,85.8573,85.8588,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/16/iterations:5",5,236.712,236.679,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/32/iterations:5",5,240.894,240.829,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/64/iterations:5",5,146.392,146.378,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/128/iterations:5",5,90.1197,90.1188,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/256/iterations:5",5,51.0725,51.0734,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/512/iterations:5",5,24.9916,24.992,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/1024/iterations:5",5,11.7301,11.7279,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/2048/iterations:5",5,6.19779,6.1977,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,9.50298,9.503,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/2/iterations:5",5,4.996,4.99604,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/4/iterations:5",5,2.77695,2.77694,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/8/iterations:5",5,1.71888,1.71891,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/16/iterations:5",5,1.16405,1.164,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/32/iterations:5",5,0.894775,0.894791,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/64/iterations:5",5,0.761048,0.761003,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/128/iterations:5",5,0.706434,0.706378,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/256/iterations:5",5,0.422885,0.422851,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/512/iterations:5",5,0.256845,0.256847,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/1024/iterations:5",5,0.146866,0.14678,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/2048/iterations:5",5,0.0814542,0.0813972,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/10485760/10485760/1/iterations:5",5,94.6885,94.668,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/2/iterations:5",5,50.1385,50.1328,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/4/iterations:5",5,28.543,28.5302,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/8/iterations:5",5,17.7404,17.7273,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/16/iterations:5",5,12.6789,12.6635,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/32/iterations:5",5,10.2532,10.2532,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/64/iterations:5",5,9.13741,9.13745,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/128/iterations:5",5,18.4585,18.4588,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/256/iterations:5",5,10.6504,10.6506,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/512/iterations:5",5,5.50697,5.50686,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/1024/iterations:5",5,2.42299,2.42275,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/2048/iterations:5",5,0.971457,0.971075,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/52428800/52428800/1/iterations:5",5,473.326,473.304,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/2/iterations:5",5,250.952,250.945,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/4/iterations:5",5,141.731,141.723,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/8/iterations:5",5,88.7777,88.7781,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/16/iterations:5",5,63.4765,63.4777,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/32/iterations:5",5,51.1763,51.1772,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/64/iterations:5",5,45.2012,45.202,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/128/iterations:5",5,120.259,120.216,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/256/iterations:5",5,73.7302,73.7155,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/512/iterations:5",5,38.7616,38.7462,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/1024/iterations:5",5,19.3711,19.3703,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/2048/iterations:5",5,9.5086,9.50848,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/1048576/1048576/1/iterations:5",5,9.71889,9.71894,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/2/iterations:5",5,5.41622,5.41631,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/4/iterations:5",5,2.98346,2.9835,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/8/iterations:5",5,1.8388,1.8388,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/16/iterations:5",5,1.26799,1.268,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/32/iterations:5",5,0.981917,0.98188,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/64/iterations:5",5,0.847266,0.847285,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/128/iterations:5",5,0.767146,0.767152,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/256/iterations:5",5,0.596499,0.596444,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/512/iterations:5",5,0.348573,0.349263,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/1024/iterations:5",5,0.208345,0.208314,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/2048/iterations:5",5,0.114202,0.114181,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/10485760/10485760/1/iterations:5",5,97.3079,97.2941,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/2/iterations:5",5,54.4842,54.4607,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/4/iterations:5",5,30.2505,30.251,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/8/iterations:5",5,19.1225,19.1095,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/16/iterations:5",5,13.7423,13.7425,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/32/iterations:5",5,11.023,11.023,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/64/iterations:5",5,9.81557,9.81569,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/128/iterations:5",5,10.0739,10.0741,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/256/iterations:5",5,13.8394,13.8241,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/512/iterations:5",5,7.21264,7.21254,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/1024/iterations:5",5,3.25428,3.25425,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/2048/iterations:5",5,1.23576,1.23555,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/52428800/52428800/1/iterations:5",5,493.137,493.078,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/2/iterations:5",5,271.695,271.699,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/4/iterations:5",5,151.665,151.636,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/8/iterations:5",5,95.4136,95.403,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/16/iterations:5",5,67.8428,67.844,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/32/iterations:5",5,55.6656,55.6562,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/64/iterations:5",5,49.2575,49.2584,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/128/iterations:5",5,54.6931,54.6758,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/256/iterations:5",5,92.0212,92.0227,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/512/iterations:5",5,51.6725,51.6735,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/1024/iterations:5",5,28.006,28.0065,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/2048/iterations:5",5,13.8402,13.8403,ms,,,,,,0,5.24288e+07
