2025-04-10T18:43:46+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.31, 0.08, 0.09
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,16.9171,16.9171,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/20/iterations:5",5,16.8632,16.8635,ms,,,,,,2.0974e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/30/iterations:5",5,16.7814,16.7818,ms,,,,,,2.10238e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/40/iterations:5",5,16.5794,16.5797,ms,,,,,,2.11777e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/50/iterations:5",5,16.1448,16.1451,ms,,,,,,2.13342e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/60/iterations:5",5,15.5686,15.568,ms,,,,,,2.13123e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/70/iterations:5",5,14.9475,14.9477,ms,,,,,,2.08899e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/80/iterations:5",5,13.0625,13.0627,ms,,,,,,1.98357e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/90/iterations:5",5,11.3548,11.3549,ms,,,,,,1.81139e+06,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/99/iterations:5",5,9.69631,9.6952,ms,,,,,,1.62411e+06,1.04858e+06
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,171.053,171.053,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/20/iterations:5",5,170.671,170.658,ms,,,,,,2.09759e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/30/iterations:5",5,169.945,169.927,ms,,,,,,2.10328e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/40/iterations:5",5,167.788,167.775,ms,,,,,,2.12175e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/50/iterations:5",5,163.907,163.909,ms,,,,,,2.14532e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/60/iterations:5",5,157.598,157.596,ms,,,,,,2.15197e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/70/iterations:5",5,147.769,147.772,ms,,,,,,2.11113e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/80/iterations:5",5,133.935,133.916,ms,,,,,,1.99649e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/90/iterations:5",5,114.68,114.667,ms,,,,,,1.80055e+07,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/99/iterations:5",5,94.8871,94.8887,ms,,,,,,1.58405e+07,1.04858e+07
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,857.077,856.988,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/20/iterations:5",5,855.267,855.17,ms,,,,,,1.04882e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/30/iterations:5",5,851.851,851.743,ms,,,,,,1.05211e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/40/iterations:5",5,844.422,844.355,ms,,,,,,1.06248e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/50/iterations:5",5,831.645,831.572,ms,,,,,,1.0767e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/60/iterations:5",5,806.486,806.387,ms,,,,,,1.08295e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/70/iterations:5",5,761.509,761.427,ms,,,,,,1.06451e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/80/iterations:5",5,689.439,689.334,ms,,,,,,1.00474e+08,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/90/iterations:5",5,586.329,586.222,ms,,,,,,8.98691e+07,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/99/iterations:5",5,477.231,477.172,ms,,,,,,7.79988e+07,5.24288e+07
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,17.0168,17.0169,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/20/iterations:5",5,17.0566,17.0541,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/30/iterations:5",5,16.7874,16.7877,ms,,,,,,2.09715e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/40/iterations:5",5,16.5278,16.5281,ms,,,,,,2.09705e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/50/iterations:5",5,16.0908,16.0775,ms,,,,,,2.0949e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/60/iterations:5",5,15.3168,15.3041,ms,,,,,,2.08262e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/70/iterations:5",5,14.2464,14.2453,ms,,,,,,2.04394e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/80/iterations:5",5,12.8984,12.8986,ms,,,,,,1.95854e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/90/iterations:5",5,11.2844,11.2845,ms,,,,,,1.81432e+06,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/99/iterations:5",5,9.65614,9.65628,ms,,,,,,1.64807e+06,1.04858e+06
"BM_JoinLinBin64/10485760/10485760/1/iterations:5",5,171.315,171.303,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/20/iterations:5",5,170.804,170.76,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/30/iterations:5",5,169.846,169.822,ms,,,,,,2.09715e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/40/iterations:5",5,167.13,167.101,ms,,,,,,2.09699e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/50/iterations:5",5,162.325,162.301,ms,,,,,,2.09467e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/60/iterations:5",5,155.14,155.107,ms,,,,,,2.08175e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/70/iterations:5",5,144.614,144.601,ms,,,,,,2.03995e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/80/iterations:5",5,130.504,130.474,ms,,,,,,1.94388e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/90/iterations:5",5,112.608,112.595,ms,,,,,,1.77721e+07,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/99/iterations:5",5,94.4935,94.4821,ms,,,,,,1.58442e+07,1.04858e+07
"BM_JoinLinBin64/52428800/52428800/1/iterations:5",5,858.835,858.657,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/20/iterations:5",5,855.158,855.062,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/30/iterations:5",5,849.901,849.759,ms,,,,,,1.04858e+08,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/40/iterations:5",5,837.12,836.976,ms,,,,,,1.0485e+08,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/50/iterations:5",5,813.215,813.08,ms,,,,,,1.04734e+08,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/60/iterations:5",5,775.712,775.601,ms,,,,,,1.04089e+08,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/70/iterations:5",5,723.473,723.362,ms,,,,,,1.01948e+08,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/80/iterations:5",5,652.414,652.291,ms,,,,,,9.68902e+07,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/90/iterations:5",5,558.412,558.302,ms,,,,,,8.78858e+07,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/99/iterations:5",5,463.528,463.464,ms,,,,,,7.74207e+07,5.24288e+07
"BM_JoinLinBin128/1048576/1048576/1/iterations:5",5,15.3484,15.346,ms,,,,,,2.09715e+06,1.04858e+06
