2025-04-10T17:44:33+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.39, 0.68, 0.87
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches"
"BM_JoinLinBin8/1048576/1048576/1/iterations:5",5,15.338,15.338,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/20/iterations:5",5,15.1746,15.1749,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/30/iterations:5",5,15.0225,15.0228,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/40/iterations:5",5,14.7962,14.7965,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/50/iterations:5",5,14.3165,14.3167,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/60/iterations:5",5,13.6654,13.6657,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/70/iterations:5",5,12.6952,12.6954,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/80/iterations:5",5,11.471,11.4712,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/90/iterations:5",5,10.2281,10.2283,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/1048576/1048576/99/iterations:5",5,8.59331,8.59343,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin8/10485760/10485760/1/iterations:5",5,154.375,154.345,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/20/iterations:5",5,153.98,153.967,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/30/iterations:5",5,152.382,152.385,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/40/iterations:5",5,150.984,150.985,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/50/iterations:5",5,146.289,146.279,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/60/iterations:5",5,139.878,139.88,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/70/iterations:5",5,131.127,131.121,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/80/iterations:5",5,119.15,119.125,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/90/iterations:5",5,102.911,102.897,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/10485760/10485760/99/iterations:5",5,84.8822,84.8838,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin8/52428800/52428800/1/iterations:5",5,772.888,772.833,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/20/iterations:5",5,769.39,769.381,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/30/iterations:5",5,763.324,763.322,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/40/iterations:5",5,754.608,754.561,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/50/iterations:5",5,741.58,741.592,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/60/iterations:5",5,717.059,717.044,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/70/iterations:5",5,675.563,675.527,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/80/iterations:5",5,611.693,611.671,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/90/iterations:5",5,521.535,521.501,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin8/52428800/52428800/99/iterations:5",5,428.098,428.064,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/1048576/1048576/1/iterations:5",5,15.8964,15.8966,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/20/iterations:5",5,15.7707,15.7709,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/30/iterations:5",5,15.6735,15.6737,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/40/iterations:5",5,15.4708,15.4711,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/50/iterations:5",5,15.0378,15.038,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/60/iterations:5",5,14.3838,14.3841,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/70/iterations:5",5,13.4979,13.4981,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/80/iterations:5",5,12.3421,12.3423,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/90/iterations:5",5,10.9752,10.9581,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/1048576/1048576/99/iterations:5",5,9.67437,9.67457,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin64/10485760/10485760/1/iterations:5",5,159.55,159.537,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/20/iterations:5",5,159.304,159.293,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/30/iterations:5",5,158.391,158.382,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/40/iterations:5",5,156.025,156.018,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/50/iterations:5",5,152.019,152.022,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/60/iterations:5",5,145.659,145.662,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/70/iterations:5",5,136.84,136.827,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/80/iterations:5",5,125.023,125.008,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/90/iterations:5",5,110.143,110.145,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/10485760/10485760/99/iterations:5",5,95.1334,95.1351,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin64/52428800/52428800/1/iterations:5",5,799.801,799.759,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/20/iterations:5",5,798.133,798.106,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/30/iterations:5",5,792.262,792.24,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/40/iterations:5",5,781.525,781.442,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/50/iterations:5",5,761.237,761.154,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/60/iterations:5",5,729.742,729.713,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/70/iterations:5",5,685.001,684.982,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/80/iterations:5",5,625.226,625.191,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/90/iterations:5",5,547.325,547.29,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin64/52428800/52428800/99/iterations:5",5,468.746,468.707,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/1048576/1048576/1/iterations:5",5,15.631,15.6286,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/20/iterations:5",5,15.5382,15.5385,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/30/iterations:5",5,15.407,15.4072,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/40/iterations:5",5,15.2238,15.2241,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/50/iterations:5",5,14.6944,14.6946,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/60/iterations:5",5,13.97,13.9701,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/70/iterations:5",5,13.0602,13.0489,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/80/iterations:5",5,11.7267,11.7269,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/90/iterations:5",5,10.2002,10.2003,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/1048576/1048576/99/iterations:5",5,8.74937,8.74953,ms,,,,,,0,1.04858e+06
"BM_JoinLinBin128/10485760/10485760/1/iterations:5",5,157.807,157.78,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/20/iterations:5",5,157.13,157.132,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/30/iterations:5",5,155.841,155.843,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/40/iterations:5",5,153.443,153.401,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/50/iterations:5",5,148.789,148.792,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/60/iterations:5",5,141.914,141.875,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/70/iterations:5",5,131.753,131.74,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/80/iterations:5",5,118.789,118.791,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/90/iterations:5",5,102.247,102.233,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/10485760/10485760/99/iterations:5",5,85.5933,85.5949,ms,,,,,,0,1.04858e+07
"BM_JoinLinBin128/52428800/52428800/1/iterations:5",5,789.172,789.062,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/20/iterations:5",5,787.633,787.476,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/30/iterations:5",5,781.393,781.259,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/40/iterations:5",5,768.537,768.379,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/50/iterations:5",5,745.266,745.135,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/60/iterations:5",5,709.627,709.515,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/70/iterations:5",5,659.777,659.658,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/80/iterations:5",5,592.58,592.455,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/90/iterations:5",5,506.176,506.064,ms,,,,,,0,5.24288e+07
"BM_JoinLinBin128/52428800/52428800/99/iterations:5",5,418.973,418.867,ms,,,,,,0,5.24288e+07
"BM_JoinBin/1048576/1048576/1/iterations:5",5,41.3721,41.37,ms,,,,,,0,1.04858e+06
"BM_JoinBin/1048576/1048576/20/iterations:5",5,41.3035,41.2487,ms,,,,,,0,1.04858e+06
"BM_JoinBin/1048576/1048576/30/iterations:5",5,40.9089,40.9096,ms,,,,,,0,1.04858e+06
