2025-05-04T09:29:04+00:00
Running ./hyriseBenchmarkPlayground
Run on (72 X 3537 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x72)
  L1 Instruction 64 KiB (x72)
  L2 Unified 1024 KiB (x72)
  L3 Unified 116736 KiB (x1)
Load Average: 0.25, 0.08, 0.03
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples","cpu-cycles","instructions"
"BM_MWAY_MERGE/4/16777216/1048576/iterations:5/manual_time",5,11.7746,11.7901,ms,,,,,,4,1.67772e+07,7.68647e+06,2.34741e+07
"BM_MWAY_MERGE/8/16777216/1048576/iterations:5/manual_time",5,26.5609,26.5796,ms,,,,,,8,1.67772e+07,1.73342e+07,5.01568e+07
"BM_MWAY_MERGE/16/16777216/1048576/iterations:5/manual_time",5,35.7114,35.735,ms,,,,,,16,1.67772e+07,2.32934e+07,6.7138e+07
"BM_MWAY_MERGE/32/16777216/1048576/iterations:5/manual_time",5,45.9198,45.9527,ms,,,,,,32,1.67772e+07,2.99998e+07,8.48233e+07
"BM_MWAY_MERGE/64/16777216/1048576/iterations:5/manual_time",5,56.6384,56.6797,ms,,,,,,64,1.67772e+07,3.72612e+07,1.04948e+08
"BM_MWAY_MERGE/128/16777216/1048576/iterations:5/manual_time",5,65.0993,65.6137,ms,,,,,,128,1.67772e+07,4.23594e+07,1.32728e+08
"BM_MWAY_MERGE/256/16777216/1048576/iterations:5/manual_time",5,86.4004,86.4802,ms,,,,,,256,1.67772e+07,5.66924e+07,1.87285e+08
"BM_MWAY_MERGE/512/16777216/1048576/iterations:5/manual_time",5,132.495,132.621,ms,,,,,,512,1.67772e+07,8.69371e+07,3.4542e+08
"BM_MWAY_MERGE/1024/16777216/1048576/iterations:5/manual_time",5,285.592,285.811,ms,,,,,,1024,1.67772e+07,1.86239e+08,9.0499e+08
"BM_MWAY_MERGE/2048/16777216/1048576/iterations:5/manual_time",5,882.741,883.009,ms,,,,,,2048,1.67772e+07,5.77952e+08,3.21402e+09
"BM_MWAY_MERGE/4/16777216/119537664/manual_time",5,18.0263,18.0397,ms,,,,,,4,1.67772e+07,1.18069e+07,3.29808e+07
"BM_MWAY_MERGE/8/16777216/119537664/manual_time",5,32.8617,32.875,ms,,,,,,8,1.67772e+07,2.14868e+07,5.15175e+07
"BM_MWAY_MERGE/16/16777216/119537664/manual_time",5,42.6342,42.6569,ms,,,,,,16,1.67772e+07,2.78531e+07,6.81964e+07
"BM_MWAY_MERGE/32/16777216/119537664/manual_time",5,50.3254,50.3553,ms,,,,,,32,1.67772e+07,3.28394e+07,8.48874e+07
"BM_MWAY_MERGE/64/16777216/119537664/manual_time",5,56.9573,56.9988,ms,,,,,,64,1.67772e+07,3.72856e+07,1.01612e+08
"BM_MWAY_MERGE/128/16777216/119537664/manual_time",5,64.477,64.9787,ms,,,,,,128,1.67772e+07,4.21605e+07,1.18425e+08
"BM_MWAY_MERGE/256/16777216/119537664/manual_time",5,72.8312,72.9038,ms,,,,,,256,1.67772e+07,4.77972e+07,1.35552e+08
"BM_MWAY_MERGE/512/16777216/119537664/manual_time",5,81.8907,82.7982,ms,,,,,,512,1.67772e+07,5.32684e+07,1.53772e+08
"BM_MWAY_MERGE/1024/16777216/119537664/manual_time",5,90.9041,91.1016,ms,,,,,,1024,1.67772e+07,5.94772e+07,1.75703e+08
"BM_MWAY_MERGE/2048/16777216/119537664/manual_time",5,105.909,106.035,ms,,,,,,2048,1.67772e+07,6.93588e+07,2.13428e+08
"BM_KWAY_MERGE/4/16777216/iterations:5/manual_time",5,51.5418,51.556,ms,,,,,,4,1.67772e+07,3.39739e+07,2.32367e+08
"BM_KWAY_MERGE/8/16777216/iterations:5/manual_time",5,63.823,63.8331,ms,,,,,,8,1.67772e+07,4.15018e+07,2.90669e+08
"BM_KWAY_MERGE/16/16777216/iterations:5/manual_time",5,72.7447,72.7649,ms,,,,,,16,1.67772e+07,4.77168e+07,3.42053e+08
"BM_KWAY_MERGE/32/16777216/iterations:5/manual_time",5,83.9842,84.0114,ms,,,,,,32,1.67772e+07,5.48262e+07,3.90924e+08
"BM_KWAY_MERGE/64/16777216/iterations:5/manual_time",5,99.3964,99.4349,ms,,,,,,64,1.67772e+07,6.49558e+07,4.4363e+08
"BM_KWAY_MERGE/128/16777216/iterations:5/manual_time",5,110.512,111.012,ms,,,,,,128,1.67772e+07,7.26393e+07,4.98159e+08
"BM_KWAY_MERGE/256/16777216/iterations:5/manual_time",5,120.545,120.624,ms,,,,,,256,1.67772e+07,7.88883e+07,5.55719e+08
"BM_KWAY_MERGE/512/16777216/iterations:5/manual_time",5,135.036,135.153,ms,,,,,,512,1.67772e+07,8.88019e+07,6.13004e+08
"BM_KWAY_MERGE/1024/16777216/iterations:5/manual_time",5,183.43,183.652,ms,,,,,,1024,1.67772e+07,1.20294e+08,6.78693e+08
"BM_KWAY_MERGE/2048/16777216/iterations:5/manual_time",5,211.14,211.264,ms,,,,,,2048,1.67772e+07,1.37871e+08,7.40015e+08
