2025-05-02T14:52:26+02:00
Running ./hyriseBenchmarkPlayground
Run on (16 X 5100 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 256 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 0.91, 1.07, 1.39
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples"
"BM_MULTIWAY_MERGE/4/16777216/iterations:5/manual_time",5,13.1901,13.1948,ms,,,,,,4,1.67772e+07
"BM_MULTIWAY_MERGE/5/16777216/iterations:5/manual_time",5,29.0652,29.0754,ms,,,,,,5,1.67772e+07
"BM_MULTIWAY_MERGE/6/16777216/iterations:5/manual_time",5,28.1384,28.1456,ms,,,,,,6,1.67772e+07
"BM_MULTIWAY_MERGE/7/16777216/iterations:5/manual_time",5,29.0828,29.0862,ms,,,,,,7,1.67772e+07
"BM_MULTIWAY_MERGE/8/16777216/iterations:5/manual_time",5,30.7111,30.7196,ms,,,,,,8,1.67772e+07
"BM_MULTIWAY_MERGE/16/16777216/iterations:5/manual_time",5,38.9265,38.9274,ms,,,,,,16,1.67772e+07
"BM_MULTIWAY_MERGE/32/16777216/iterations:5/manual_time",5,49.0869,49.1013,ms,,,,,,32,1.67772e+07
"BM_MULTIWAY_MERGE/64/16777216/iterations:5/manual_time",5,56.116,57.2968,ms,,,,,,64,1.67772e+07
"BM_MULTIWAY_MERGE/128/16777216/iterations:5/manual_time",5,71.5075,71.55,ms,,,,,,128,1.67772e+07
"BM_MULTIWAY_MERGE/256/16777216/iterations:5/manual_time",5,120.511,122.184,ms,,,,,,256,1.67772e+07
"BM_MULTIWAY_MERGE/512/16777216/iterations:5/manual_time",5,238.567,251.729,ms,,,,,,512,1.67772e+07
"BM_MULTIWAY_MERGE/1024/16777216/iterations:5/manual_time",5,700.556,706.722,ms,,,,,,1024,1.67772e+07
"BM_MULTIWAY_MERGE/2048/16777216/iterations:5/manual_time",5,2480.69,2493.02,ms,,,,,,2048,1.67772e+07
"BM_KWAY_MERGE/4/16777216/iterations:5/manual_time",5,113.405,113.405,ms,,,,,,4,1.67772e+07
"BM_KWAY_MERGE/5/16777216/iterations:5/manual_time",5,131.799,131.803,ms,,,,,,5,1.67772e+07
"BM_KWAY_MERGE/6/16777216/iterations:5/manual_time",5,144.545,144.546,ms,,,,,,6,1.67772e+07
"BM_KWAY_MERGE/7/16777216/iterations:5/manual_time",5,143.873,143.872,ms,,,,,,7,1.67772e+07
"BM_KWAY_MERGE/8/16777216/iterations:5/manual_time",5,142.681,142.675,ms,,,,,,8,1.67772e+07
"BM_KWAY_MERGE/16/16777216/iterations:5/manual_time",5,159.681,159.674,ms,,,,,,16,1.67772e+07
"BM_KWAY_MERGE/32/16777216/iterations:5/manual_time",5,180.854,180.856,ms,,,,,,32,1.67772e+07
"BM_KWAY_MERGE/64/16777216/iterations:5/manual_time",5,195.413,205.644,ms,,,,,,64,1.67772e+07
"BM_KWAY_MERGE/128/16777216/iterations:5/manual_time",5,217.13,217.171,ms,,,,,,128,1.67772e+07
"BM_KWAY_MERGE/256/16777216/iterations:5/manual_time",5,241.261,255.072,ms,,,,,,256,1.67772e+07
"BM_KWAY_MERGE/512/16777216/iterations:5/manual_time",5,255.896,279.137,ms,,,,,,512,1.67772e+07
"BM_KWAY_MERGE/1024/16777216/iterations:5/manual_time",5,279.938,283.261,ms,,,,,,1024,1.67772e+07
"BM_KWAY_MERGE/2048/16777216/iterations:5/manual_time",5,301.891,307.005,ms,,,,,,2048,1.67772e+07
