2025-05-02T14:40:08+00:00
Running ./hyriseBenchmarkPlayground
Run on (72 X 3627 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x72)
  L1 Instruction 64 KiB (x72)
  L2 Unified 1024 KiB (x72)
  L3 Unified 116736 KiB (x1)
Load Average: 0.20, 0.17, 0.07
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples"
"BM_MWAY_MERGE/4/16777216/iterations:5/manual_time",5,11.7908,11.7997,ms,,,,,,4,1.67772e+07
"BM_MWAY_MERGE/8/16777216/iterations:5/manual_time",5,26.0541,26.0669,ms,,,,,,8,1.67772e+07
"BM_MWAY_MERGE/16/16777216/iterations:5/manual_time",5,34.6463,34.6581,ms,,,,,,16,1.67772e+07
"BM_MWAY_MERGE/32/16777216/iterations:5/manual_time",5,44.2822,44.3006,ms,,,,,,32,1.67772e+07
"BM_MWAY_MERGE/64/16777216/iterations:5/manual_time",5,54.8523,55.1526,ms,,,,,,64,1.67772e+07
"BM_MWAY_MERGE/128/16777216/iterations:5/manual_time",5,69.9205,69.9687,ms,,,,,,128,1.67772e+07
"BM_MWAY_MERGE/256/16777216/iterations:5/manual_time",5,85.9861,86.4444,ms,,,,,,256,1.67772e+07
"BM_MWAY_MERGE/512/16777216/iterations:5/manual_time",5,109.86,110.951,ms,,,,,,512,1.67772e+07
"BM_MWAY_MERGE/1024/16777216/iterations:5/manual_time",5,192.21,192.278,ms,,,,,,1024,1.67772e+07
"BM_MWAY_MERGE/2048/16777216/iterations:5/manual_time",5,461.913,462.598,ms,,,,,,2048,1.67772e+07
"BM_KWAY_MERGE/4/16777216/iterations:5/manual_time",5,51.1934,51.196,ms,,,,,,4,1.67772e+07
"BM_KWAY_MERGE/8/16777216/iterations:5/manual_time",5,60.9605,60.9715,ms,,,,,,8,1.67772e+07
"BM_KWAY_MERGE/16/16777216/iterations:5/manual_time",5,70.8262,70.8349,ms,,,,,,16,1.67772e+07
"BM_KWAY_MERGE/32/16777216/iterations:5/manual_time",5,81.3711,81.3891,ms,,,,,,32,1.67772e+07
"BM_KWAY_MERGE/64/16777216/iterations:5/manual_time",5,93.2506,93.8353,ms,,,,,,64,1.67772e+07
"BM_KWAY_MERGE/128/16777216/iterations:5/manual_time",5,106.188,106.901,ms,,,,,,128,1.67772e+07
"BM_KWAY_MERGE/256/16777216/iterations:5/manual_time",5,121.885,122.953,ms,,,,,,256,1.67772e+07
"BM_KWAY_MERGE/512/16777216/iterations:5/manual_time",5,133.368,133.702,ms,,,,,,512,1.67772e+07
"BM_KWAY_MERGE/1024/16777216/iterations:5/manual_time",5,183.383,183.597,ms,,,,,,1024,1.67772e+07
"BM_KWAY_MERGE/2048/16777216/iterations:5/manual_time",5,218.038,218.15,ms,,,,,,2048,1.67772e+07
