2025-05-02T14:49:57+00:00
Running ./hyriseBenchmarkPlayground
Run on (72 X 3627 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x72)
  L1 Instruction 64 KiB (x72)
  L2 Unified 1024 KiB (x72)
  L3 Unified 116736 KiB (x1)
Load Average: 0.46, 0.50, 0.25
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples"
"BM_MWAY_MERGE/4/134217728/iterations:5/manual_time",5,95.4383,95.4477,ms,,,,,,4,1.34218e+08
"BM_MWAY_MERGE/8/134217728/iterations:5/manual_time",5,211.196,211.193,ms,,,,,,8,1.34218e+08
"BM_MWAY_MERGE/16/134217728/iterations:5/manual_time",5,279.153,279.156,ms,,,,,,16,1.34218e+08
"BM_MWAY_MERGE/32/134217728/iterations:5/manual_time",5,356.712,356.715,ms,,,,,,32,1.34218e+08
"BM_MWAY_MERGE/64/134217728/iterations:5/manual_time",5,442.943,444.084,ms,,,,,,64,1.34218e+08
"BM_MWAY_MERGE/128/134217728/iterations:5/manual_time",5,581.005,581.03,ms,,,,,,128,1.34218e+08
"BM_MWAY_MERGE/256/134217728/iterations:5/manual_time",5,707.794,714.067,ms,,,,,,256,1.34218e+08
"BM_MWAY_MERGE/512/134217728/iterations:5/manual_time",5,879.461,888.263,ms,,,,,,512,1.34218e+08
"BM_MWAY_MERGE/1024/134217728/iterations:5/manual_time",5,1542.03,1546.05,ms,,,,,,1024,1.34218e+08
"BM_MWAY_MERGE/2048/134217728/iterations:5/manual_time",5,3702.19,3708.41,ms,,,,,,2048,1.34218e+08
"BM_KWAY_MERGE/4/134217728/iterations:5/manual_time",5,407.677,407.638,ms,,,,,,4,1.34218e+08
"BM_KWAY_MERGE/8/134217728/iterations:5/manual_time",5,485.97,485.952,ms,,,,,,8,1.34218e+08
"BM_KWAY_MERGE/16/134217728/iterations:5/manual_time",5,565.121,565.077,ms,,,,,,16,1.34218e+08
"BM_KWAY_MERGE/32/134217728/iterations:5/manual_time",5,648.977,648.948,ms,,,,,,32,1.34218e+08
"BM_KWAY_MERGE/64/134217728/iterations:5/manual_time",5,743.293,743.275,ms,,,,,,64,1.34218e+08
"BM_KWAY_MERGE/128/134217728/iterations:5/manual_time",5,845.407,845.393,ms,,,,,,128,1.34218e+08
"BM_KWAY_MERGE/256/134217728/iterations:5/manual_time",5,961.8,969.172,ms,,,,,,256,1.34218e+08
"BM_KWAY_MERGE/512/134217728/iterations:5/manual_time",5,1074.74,1085.22,ms,,,,,,512,1.34218e+08
"BM_KWAY_MERGE/1024/134217728/iterations:5/manual_time",5,1183.21,1186.61,ms,,,,,,1024,1.34218e+08
"BM_KWAY_MERGE/2048/134217728/iterations:5/manual_time",5,1313.69,1315.85,ms,,,,,,2048,1.34218e+08
