2025-06-02T08:36:39+00:00
Running ./hyriseBenchmarkPlayground
Run on (128 X 3400 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 1280 KiB (x64)
  L3 Unified 49152 KiB (x2)
Load Average: 1.83, 0.55, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples","cpu-cycles","instructions"
"BM_MWAY_MERGE/4/16777216/50331648/iterations:5/manual_time",5,25.8645,25.879,ms,,,,,,4,1.67772e+07,1.37239e+07,1.17986e+07
"BM_MWAY_MERGE/8/16777216/50331648/iterations:5/manual_time",5,52.7067,52.7258,ms,,,,,,8,1.67772e+07,2.63875e+07,1.88848e+07
"BM_MWAY_MERGE/16/16777216/50331648/iterations:5/manual_time",5,64.2587,64.2783,ms,,,,,,16,1.67772e+07,3.17773e+07,2.51893e+07
"BM_MWAY_MERGE/32/16777216/50331648/iterations:5/manual_time",5,77.0149,77.0453,ms,,,,,,32,1.67772e+07,3.77121e+07,3.15242e+07
"BM_MWAY_MERGE/64/16777216/50331648/iterations:5/manual_time",5,90.0472,90.0764,ms,,,,,,64,1.67772e+07,4.32254e+07,3.79529e+07
"BM_MWAY_MERGE/128/16777216/50331648/iterations:5/manual_time",5,86.3856,86.4562,ms,,,,,,128,1.67772e+07,4.62806e+07,4.45921e+07
"BM_MWAY_MERGE/256/16777216/50331648/iterations:5/manual_time",5,93.5156,93.6251,ms,,,,,,256,1.67772e+07,5.03687e+07,5.22132e+07
"BM_MWAY_MERGE/512/16777216/50331648/iterations:5/manual_time",5,104.185,104.386,ms,,,,,,512,1.67772e+07,5.43812e+07,6.23959e+07
"BM_MWAY_MERGE/1024/16777216/50331648/iterations:5/manual_time",5,113.931,115.413,ms,,,,,,1024,1.67772e+07,6.18429e+07,8.39382e+07
"BM_MWAY_MERGE/2048/16777216/50331648/iterations:5/manual_time",5,143.156,144.383,ms,,,,,,2048,1.67772e+07,7.76304e+07,1.48133e+08
