2025-05-04T09:54:36+00:00
Running ./hyriseBenchmarkPlayground
Run on (128 X 3400 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x64)
  L1 Instruction 32 KiB (x64)
  L2 Unified 1280 KiB (x64)
  L3 Unified 49152 KiB (x2)
Load Average: 0.59, 3.02, 2.62
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples"
"BM_MWAY_MERGE/4/16777216/1310720/iterations:5/manual_time",5,15.5028,15.5113,ms,,,,,,4,1.67772e+07
"BM_MWAY_MERGE/8/16777216/1310720/iterations:5/manual_time",5,36.8203,36.8313,ms,,,,,,8,1.67772e+07
"BM_MWAY_MERGE/16/16777216/1310720/iterations:5/manual_time",5,45.8224,45.8386,ms,,,,,,16,1.67772e+07
"BM_MWAY_MERGE/32/16777216/1310720/iterations:5/manual_time",5,55.0042,55.0248,ms,,,,,,32,1.67772e+07
"BM_MWAY_MERGE/64/16777216/1310720/iterations:5/manual_time",5,63.8127,63.8251,ms,,,,,,64,1.67772e+07
"BM_MWAY_MERGE/128/16777216/1310720/iterations:5/manual_time",5,78.2849,78.3474,ms,,,,,,128,1.67772e+07
"BM_MWAY_MERGE/256/16777216/1310720/iterations:5/manual_time",5,105.157,106.048,ms,,,,,,256,1.67772e+07
"BM_MWAY_MERGE/512/16777216/1310720/iterations:5/manual_time",5,182.116,182.293,ms,,,,,,512,1.67772e+07
"BM_MWAY_MERGE/1024/16777216/1310720/iterations:5/manual_time",5,438.658,439.897,ms,,,,,,1024,1.67772e+07
"BM_MWAY_MERGE/2048/16777216/1310720/iterations:5/manual_time",5,1406.54,1416.37,ms,,,,,,2048,1.67772e+07
"BM_MWAY_MERGE/4/16777216/1572864/iterations:5/manual_time",5,15.8694,15.8782,ms,,,,,,4,1.67772e+07
"BM_MWAY_MERGE/8/16777216/1572864/iterations:5/manual_time",5,37.4356,37.4411,ms,,,,,,8,1.67772e+07
"BM_MWAY_MERGE/16/16777216/1572864/iterations:5/manual_time",5,45.4277,45.4441,ms,,,,,,16,1.67772e+07
"BM_MWAY_MERGE/32/16777216/1572864/iterations:5/manual_time",5,55.6098,55.6315,ms,,,,,,32,1.67772e+07
"BM_MWAY_MERGE/64/16777216/1572864/iterations:5/manual_time",5,63.0347,63.069,ms,,,,,,64,1.67772e+07
"BM_MWAY_MERGE/128/16777216/1572864/iterations:5/manual_time",5,76.2661,76.3238,ms,,,,,,128,1.67772e+07
"BM_MWAY_MERGE/256/16777216/1572864/iterations:5/manual_time",5,102.049,102.142,ms,,,,,,256,1.67772e+07
"BM_MWAY_MERGE/512/16777216/1572864/iterations:5/manual_time",5,164.872,170.856,ms,,,,,,512,1.67772e+07
"BM_MWAY_MERGE/1024/16777216/1572864/iterations:5/manual_time",5,365.57,376.52,ms,,,,,,1024,1.67772e+07
