2025-05-02T15:01:27+00:00
Running ./hyriseBenchmarkPlayground
Run on (72 X 3627 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x72)
  L1 Instruction 64 KiB (x72)
  L2 Unified 1024 KiB (x72)
  L3 Unified 116736 KiB (x1)
Load Average: 0.15, 0.14, 0.20
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples","cpu_cycles","inst_retired","l2d_cache","l2d_cache_refill","l3d_cache","l3d_cache_refill","op_retired","op_spec","stall_backend","stall_slot"
"BM_MWAY_MERGE/4/33554432/iterations:5/manual_time",5,23.739,23.7605,ms,,,,,,4,3.35544e+07,7.68198e+07,2.34559e+08,0,4777.4,0,0,2.39818e+08,2.39895e+08,2.55607e+07,3.74663e+08
"BM_MWAY_MERGE/8/33554432/iterations:5/manual_time",5,52.7731,52.7965,ms,,,,,,8,3.35544e+07,1.70775e+08,5.00892e+08,0,153294,0,0,5.1976e+08,5.20396e+08,6.31647e+07,8.45802e+08
"BM_MWAY_MERGE/16/33554432/iterations:5/manual_time",5,69.9467,69.9741,ms,,,,,,16,3.35544e+07,2.26438e+08,6.69261e+08,0,37051,0,0,6.94379e+08,6.95693e+08,8.27819e+07,1.11581e+09
"BM_MWAY_MERGE/32/33554432/iterations:5/manual_time",5,89.0465,89.075,ms,,,,,,32,3.35544e+07,2.88252e+08,8.41599e+08,0,63811.2,0,0,8.72853e+08,8.75032e+08,1.07775e+08,1.43098e+09
"BM_MWAY_MERGE/64/33554432/iterations:5/manual_time",5,110.697,110.977,ms,,,,,,64,3.35544e+07,3.58381e+08,1.02558e+09,0,112105,0,0,1.06238e+09,1.06588e+09,1.3881e+08,1.80117e+09
"BM_MWAY_MERGE/128/33554432/iterations:5/manual_time",5,142.43,142.476,ms,,,,,,128,3.35544e+07,4.61163e+08,1.24844e+09,0,299628,0,0,1.28836e+09,1.29628e+09,1.98028e+08,2.39302e+09
"BM_MWAY_MERGE/256/33554432/iterations:5/manual_time",5,173.204,174.858,ms,,,,,,256,3.35544e+07,5.60808e+08,1.61228e+09,0,1.0599e+06,0,0,1.6454e+09,1.66463e+09,2.3334e+08,2.82183e+09
"BM_MWAY_MERGE/512/33554432/iterations:5/manual_time",5,219.503,219.792,ms,,,,,,512,3.35544e+07,7.10799e+08,2.47286e+09,0,727723,0,0,2.45714e+09,2.51149e+09,2.48607e+08,3.1749e+09
"BM_MWAY_MERGE/1024/33554432/iterations:5/manual_time",5,385.952,386.404,ms,,,,,,1024,3.35544e+07,1.24994e+09,5.24379e+09,0,1.03626e+06,0,0,5.01093e+09,5.18603e+09,3.8555e+08,4.81349e+09
"BM_MWAY_MERGE/2048/33554432/iterations:5/manual_time",5,924.324,925.826,ms,,,,,,2048,3.35544e+07,2.99265e+09,1.54228e+10,0,1.35155e+06,0,0,1.43019e+10,1.475e+10,7.23613e+08,9.19124e+09
"BM_KWAY_MERGE/4/33554432/iterations:5/manual_time",5,102.183,102.196,ms,,,,,,4,3.35544e+07,3.30737e+08,2.20621e+09,0,376426,0,0,2.19783e+09,2.20031e+09,2.78395e+07,4.45586e+08
"BM_KWAY_MERGE/8/33554432/iterations:5/manual_time",5,124.352,124.365,ms,,,,,,8,3.35544e+07,4.02547e+08,2.76407e+09,0,222973,0,0,2.79343e+09,2.79817e+09,1.9575e+07,4.22208e+08
"BM_KWAY_MERGE/16/33554432/iterations:5/manual_time",5,144.404,144.416,ms,,,,,,16,3.35544e+07,4.67518e+08,3.25272e+09,0,173510,0,0,3.32822e+09,3.3331e+09,8.66157e+06,4.07047e+08
"BM_KWAY_MERGE/32/33554432/iterations:5/manual_time",5,168.108,168.624,ms,,,,,,32,3.35544e+07,5.44319e+08,3.74165e+09,0,116719,0,0,3.85909e+09,3.86545e+09,8.66629e+06,4.891e+08
"BM_KWAY_MERGE/64/33554432/iterations:5/manual_time",5,191.55,191.579,ms,,,,,,64,3.35544e+07,6.20182e+08,4.27152e+09,0,87428,0,0,4.43458e+09,4.44256e+09,1.11058e+07,5.18898e+08
"BM_KWAY_MERGE/128/33554432/iterations:5/manual_time",5,217.057,218.506,ms,,,,,,128,3.35544e+07,7.02839e+08,4.81534e+09,0,79463,0,0,5.03528e+09,5.04562e+09,1.63054e+07,5.7709e+08
"BM_KWAY_MERGE/256/33554432/iterations:5/manual_time",5,245.417,246.294,ms,,,,,,256,3.35544e+07,7.94608e+08,5.38884e+09,0,76394.2,0,0,5.67039e+09,5.68402e+09,3.09424e+07,6.72845e+08
"BM_KWAY_MERGE/512/33554432/iterations:5/manual_time",5,271.783,271.891,ms,,,,,,512,3.35544e+07,8.80069e+08,5.96108e+09,0,76140,0,0,6.30215e+09,6.31639e+09,2.51455e+07,7.24169e+08
"BM_KWAY_MERGE/1024/33554432/iterations:5/manual_time",5,296.653,297.107,ms,,,,,,1024,3.35544e+07,9.60839e+08,6.62025e+09,0,79495.2,0,0,7.02634e+09,7.04197e+09,4.9492e+07,6.44745e+08
"BM_KWAY_MERGE/2048/33554432/iterations:5/manual_time",5,425.208,426.116,ms,,,,,,2048,3.35544e+07,1.37646e+09,7.23114e+09,0,108312,0,0,7.703e+09,7.71534e+09,2.85958e+08,3.29631e+09
