2025-05-05T11:25:43+00:00
Running ./hyriseBenchmarkPlayground
Run on (128 X 2250 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x128)
  L1 Instruction 32 KiB (x128)
  L2 Unified 512 KiB (x128)
  L3 Unified 16384 KiB (x32)
Load Average: 0.02, 0.69, 0.76
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples","cpu-cycles","instructions"
"BM_MWAY_MERGE/4/16777216/524288/manual_time",49,14.2967,14.3189,ms,,,,,,4,1.67772e+07,4.82776e+07,8.45197e+07
"BM_MWAY_MERGE/8/16777216/524288/manual_time",20,34.8175,34.8334,ms,,,,,,8,1.67772e+07,1.16809e+08,1.82152e+08
"BM_MWAY_MERGE/16/16777216/524288/manual_time",16,44.9358,44.9534,ms,,,,,,16,1.67772e+07,1.50762e+08,2.46158e+08
"BM_MWAY_MERGE/32/16777216/524288/manual_time",13,55.2088,55.2441,ms,,,,,,32,1.67772e+07,1.85468e+08,3.18767e+08
"BM_MWAY_MERGE/64/16777216/524288/manual_time",10,67.8404,68.8272,ms,,,,,,64,1.67772e+07,2.27394e+08,4.20774e+08
"BM_MWAY_MERGE/128/16777216/524288/manual_time",8,85.5016,86.9859,ms,,,,,,128,1.67772e+07,2.86941e+08,5.97509e+08
"BM_MWAY_MERGE/256/16777216/524288/manual_time",5,134.531,139.385,ms,,,,,,256,1.67772e+07,4.52198e+08,1.14911e+09
"BM_MWAY_MERGE/512/16777216/524288/manual_time",2,278.412,278.561,ms,,,,,,512,1.67772e+07,9.43797e+08,2.99773e+09
"BM_MWAY_MERGE/1024/16777216/524288/manual_time",1,820.576,823.246,ms,,,,,,1024,1.67772e+07,2.76546e+09,1.02697e+10
"BM_MWAY_MERGE/2048/16777216/524288/manual_time",1,3209.72,3217.53,ms,,,,,,2048,1.67772e+07,1.07839e+10,4.3547e+10
"BM_MWAY_MERGE/4/16777216/4194304/manual_time",45,14.7618,15.3839,ms,,,,,,4,1.67772e+07,4.97891e+07,8.60939e+07
"BM_MWAY_MERGE/8/16777216/4194304/manual_time",20,36.2301,36.2332,ms,,,,,,8,1.67772e+07,1.20705e+08,1.81334e+08
"BM_MWAY_MERGE/16/16777216/4194304/manual_time",16,45.3497,47.6745,ms,,,,,,16,1.67772e+07,1.52014e+08,2.42036e+08
"BM_MWAY_MERGE/32/16777216/4194304/manual_time",13,53.6759,53.6774,ms,,,,,,32,1.67772e+07,1.79841e+08,3.04105e+08
"BM_MWAY_MERGE/64/16777216/4194304/manual_time",11,64.0737,64.1284,ms,,,,,,64,1.67772e+07,2.15367e+08,3.68861e+08
"BM_MWAY_MERGE/128/16777216/4194304/manual_time",9,75.1297,75.1754,ms,,,,,,128,1.67772e+07,2.52164e+08,4.46759e+08
"BM_MWAY_MERGE/256/16777216/4194304/manual_time",8,86.3852,86.4671,ms,,,,,,256,1.67772e+07,2.90426e+08,5.66281e+08
"BM_MWAY_MERGE/512/16777216/4194304/manual_time",6,111.219,112.127,ms,,,,,,512,1.67772e+07,3.73581e+08,8.36339e+08
"BM_MWAY_MERGE/1024/16777216/4194304/manual_time",4,181.974,183.204,ms,,,,,,1024,1.67772e+07,6.06357e+08,1.68354e+09
"BM_MWAY_MERGE/2048/16777216/4194304/manual_time",2,400.928,401.291,ms,,,,,,2048,1.67772e+07,1.35942e+09,4.80953e+09
"BM_KWAY_MERGE/4/16777216/manual_time",4,158.021,157.964,ms,,,,,,4,1.67772e+07,5.23263e+08,1.36735e+09
"BM_KWAY_MERGE/8/16777216/manual_time",4,174.222,174.145,ms,,,,,,8,1.67772e+07,5.90028e+08,1.69033e+09
"BM_KWAY_MERGE/16/16777216/manual_time",4,191.461,191.447,ms,,,,,,16,1.67772e+07,6.48449e+08,1.98499e+09
"BM_KWAY_MERGE/32/16777216/manual_time",4,194.205,194.218,ms,,,,,,32,1.67772e+07,6.4917e+08,2.25189e+09
"BM_KWAY_MERGE/64/16777216/manual_time",4,194.634,194.647,ms,,,,,,64,1.67772e+07,6.50595e+08,2.54347e+09
"BM_KWAY_MERGE/128/16777216/manual_time",4,199.1,199.149,ms,,,,,,128,1.67772e+07,6.67252e+08,2.84377e+09
"BM_KWAY_MERGE/256/16777216/manual_time",3,209.78,217.072,ms,,,,,,256,1.67772e+07,7.05641e+08,3.1654e+09
"BM_KWAY_MERGE/512/16777216/manual_time",3,221.128,230.113,ms,,,,,,512,1.67772e+07,7.49438e+08,3.47664e+09
"BM_KWAY_MERGE/1024/16777216/manual_time",3,241.757,244.457,ms,,,,,,1024,1.67772e+07,8.13962e+08,3.84631e+09
"BM_KWAY_MERGE/2048/16777216/manual_time",3,264.083,265.258,ms,,,,,,2048,1.67772e+07,8.88602e+08,4.1851e+09
