2025-05-02T15:18:59+00:00
Running ./hyriseBenchmarkPlayground
Run on (72 X 3627 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x72)
  L1 Instruction 64 KiB (x72)
  L2 Unified 1024 KiB (x72)
  L3 Unified 116736 KiB (x1)
Load Average: 0.22, 0.06, 0.08
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples","cpu_cycles","inst_retired","l2d_cache","l2d_cache_refill","l3d_cache","l3d_cache_refill","op_retired","op_spec","stall_backend","stall_slot"
"BM_MWAY_MERGE/4/33554432/iterations:5/manual_time",5,23.7131,23.724,ms,,,,,,4,3.35544e+07,7.67009e+07,2.34559e+08,0,4767.8,0,0,2.39818e+08,2.3989e+08,2.54417e+07,3.73718e+08
"BM_MWAY_MERGE/8/33554432/iterations:5/manual_time",5,52.8155,52.838,ms,,,,,,8,3.35544e+07,1.70914e+08,5.00892e+08,0,153041,0,0,5.1976e+08,5.20361e+08,6.33168e+07,8.46948e+08
"BM_MWAY_MERGE/16/33554432/iterations:5/manual_time",5,69.8047,69.8328,ms,,,,,,16,3.35544e+07,2.25979e+08,6.69261e+08,0,29711.8,0,0,6.94379e+08,6.95384e+08,8.23898e+07,1.11245e+09
"BM_MWAY_MERGE/32/33554432/iterations:5/manual_time",5,89.0243,89.0576,ms,,,,,,32,3.35544e+07,2.8822e+08,8.41599e+08,0,68724.2,0,0,8.72853e+08,8.74848e+08,1.07778e+08,1.43091e+09
"BM_MWAY_MERGE/64/33554432/iterations:5/manual_time",5,110.824,111.058,ms,,,,,,64,3.35544e+07,3.58788e+08,1.02558e+09,0,112700,0,0,1.06238e+09,1.06593e+09,1.39193e+08,1.80437e+09
"BM_MWAY_MERGE/128/33554432/iterations:5/manual_time",5,143.161,143.208,ms,,,,,,128,3.35544e+07,4.63521e+08,1.24844e+09,0,297772,0,0,1.28836e+09,1.29641e+09,2.00424e+08,2.41176e+09
"BM_MWAY_MERGE/256/33554432/iterations:5/manual_time",5,173.435,174.975,ms,,,,,,256,3.35544e+07,5.61542e+08,1.61228e+09,0,1.11036e+06,0,0,1.64541e+09,1.66475e+09,2.34469e+08,2.82759e+09
"BM_MWAY_MERGE/512/33554432/iterations:5/manual_time",5,219.82,221.079,ms,,,,,,512,3.35544e+07,7.11897e+08,2.47287e+09,0,731598,0,0,2.45714e+09,2.51249e+09,2.49158e+08,3.18269e+09
"BM_MWAY_MERGE/1024/33554432/iterations:5/manual_time",5,386.54,387.799,ms,,,,,,1024,3.35544e+07,1.2518e+09,5.2438e+09,0,1.04962e+06,0,0,5.01094e+09,5.18762e+09,3.86075e+08,4.82678e+09
"BM_MWAY_MERGE/2048/33554432/iterations:5/manual_time",5,924.207,925.582,ms,,,,,,2048,3.35544e+07,2.99226e+09,1.54229e+10,0,1.33685e+06,0,0,1.4302e+10,1.4752e+10,7.23105e+08,9.18616e+09
"BM_KWAY_MERGE/4/33554432/iterations:5/manual_time",5,102.107,102.114,ms,,,,,,4,3.35544e+07,3.30504e+08,2.20621e+09,0,393057,0,0,2.19783e+09,2.20034e+09,2.75683e+07,4.43688e+08
"BM_KWAY_MERGE/8/33554432/iterations:5/manual_time",5,121.879,121.887,ms,,,,,,8,3.35544e+07,3.94533e+08,2.76407e+09,0,236380,0,0,2.79343e+09,2.79833e+09,1.9439e+07,3.57928e+08
"BM_KWAY_MERGE/16/33554432/iterations:5/manual_time",5,141.533,141.534,ms,,,,,,16,3.35544e+07,4.58051e+08,3.25272e+09,0,189944,0,0,3.32822e+09,3.3337e+09,9.92156e+06,3.30707e+08
"BM_KWAY_MERGE/32/33554432/iterations:5/manual_time",5,162.691,162.711,ms,,,,,,32,3.35544e+07,5.26726e+08,3.74139e+09,0,121931,0,0,3.85884e+09,3.86539e+09,1.27269e+07,3.4842e+08
"BM_KWAY_MERGE/64/33554432/iterations:5/manual_time",5,186.401,187.179,ms,,,,,,64,3.35544e+07,6.03442e+08,4.27152e+09,0,89239,0,0,4.43458e+09,4.44288e+09,1.68039e+07,3.84654e+08
"BM_KWAY_MERGE/128/33554432/iterations:5/manual_time",5,211.885,212.898,ms,,,,,,128,3.35544e+07,6.8599e+08,4.8151e+09,0,81916,0,0,5.03505e+09,5.04607e+09,2.23748e+07,4.41852e+08
"BM_KWAY_MERGE/256/33554432/iterations:5/manual_time",5,240.945,241.002,ms,,,,,,256,3.35544e+07,7.80081e+08,5.38883e+09,0,77475,0,0,5.67038e+09,5.68529e+09,3.36416e+07,5.5536e+08
"BM_KWAY_MERGE/512/33554432/iterations:5/manual_time",5,269.322,269.579,ms,,,,,,512,3.35544e+07,8.72226e+08,5.96109e+09,0,77166.2,0,0,6.30215e+09,6.31675e+09,2.88746e+07,6.61054e+08
"BM_KWAY_MERGE/1024/33554432/iterations:5/manual_time",5,296.451,297.326,ms,,,,,,1024,3.35544e+07,9.60287e+08,6.62025e+09,0,77672.6,0,0,7.02633e+09,7.04245e+09,4.86742e+07,6.3984e+08
"BM_KWAY_MERGE/2048/33554432/iterations:5/manual_time",5,421.871,422.465,ms,,,,,,2048,3.35544e+07,1.36589e+09,7.23113e+09,0,105862,0,0,7.703e+09,7.71549e+09,2.75812e+08,3.21162e+09
