2025-05-02T15:38:32+00:00
Running ./hyriseBenchmarkPlayground
Run on (72 X 3627 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x72)
  L1 Instruction 64 KiB (x72)
  L2 Unified 1024 KiB (x72)
  L3 Unified 116736 KiB (x1)
Load Average: 0.20, 0.17, 0.11
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","LLC-load-misses","Tuples","cpu_cycles","inst_retired","l2d_cache","l2d_cache_refill","l3d_cache","l3d_cache_refill","op_retired","op_spec","stall_backend","stall_slot"
"BM_MWAY_MERGE/4/33554432/iterations:5/manual_time",5,23.8238,23.8438,ms,,,,,,4,0,3.35544e+07,7.70812e+07,2.34559e+08,0,4788.2,0,0,2.39818e+08,2.39902e+08,2.58265e+07,3.76748e+08
"BM_MWAY_MERGE/8/33554432/iterations:5/manual_time",5,52.8096,52.8227,ms,,,,,,8,0,3.35544e+07,1.70823e+08,5.00892e+08,0,157809,0,0,5.1976e+08,5.20198e+08,6.32588e+07,8.46388e+08
"BM_MWAY_MERGE/16/33554432/iterations:5/manual_time",5,69.9096,69.9302,ms,,,,,,16,0,3.35544e+07,2.26277e+08,6.69261e+08,0,34704.2,0,0,6.94379e+08,6.95305e+08,8.27021e+07,1.11491e+09
"BM_MWAY_MERGE/32/33554432/iterations:5/manual_time",5,89.0399,89.0697,ms,,,,,,32,0,3.35544e+07,2.88206e+08,8.41599e+08,0,69509.4,0,0,8.72854e+08,8.74862e+08,1.0772e+08,1.43079e+09
"BM_MWAY_MERGE/64/33554432/iterations:5/manual_time",5,110.852,111.239,ms,,,,,,64,0,3.35544e+07,3.58738e+08,1.02558e+09,0,114158,0,0,1.06239e+09,1.06605e+09,1.39116e+08,1.80386e+09
"BM_MWAY_MERGE/128/33554432/iterations:5/manual_time",5,143.284,143.333,ms,,,,,,128,0,3.35544e+07,4.63806e+08,1.24844e+09,0,293542,0,0,1.28836e+09,1.29655e+09,2.00717e+08,2.4139e+09
"BM_MWAY_MERGE/256/33554432/iterations:5/manual_time",5,173.777,176.263,ms,,,,,,256,0,3.35544e+07,5.62434e+08,1.61229e+09,0,1.11341e+06,0,0,1.64542e+09,1.66507e+09,2.35156e+08,2.8344e+09
"BM_MWAY_MERGE/512/33554432/iterations:5/manual_time",5,220.494,220.718,ms,,,,,,512,0,3.35544e+07,7.13942e+08,2.47285e+09,0,738102,0,0,2.45711e+09,2.51286e+09,2.50763e+08,3.19868e+09
"BM_MWAY_MERGE/1024/33554432/iterations:5/manual_time",5,386.081,387.147,ms,,,,,,1024,0,3.35544e+07,1.25029e+09,5.24378e+09,0,1.0043e+06,0,0,5.0109e+09,5.18689e+09,3.86435e+08,4.81543e+09
"BM_MWAY_MERGE/2048/33554432/iterations:5/manual_time",5,923.56,924.899,ms,,,,,,2048,0,3.35544e+07,2.98969e+09,1.54227e+10,0,1.34287e+06,0,0,1.43019e+10,1.47503e+10,7.21773e+08,9.16717e+09
"BM_KWAY_MERGE/4/33554432/iterations:5/manual_time",5,102.286,102.29,ms,,,,,,4,0,3.35544e+07,3.31012e+08,2.20621e+09,0,385621,0,0,2.19783e+09,2.20013e+09,2.80003e+07,4.4797e+08
"BM_KWAY_MERGE/8/33554432/iterations:5/manual_time",5,121.811,121.821,ms,,,,,,8,0,3.35544e+07,3.94279e+08,2.76407e+09,0,238789,0,0,2.79343e+09,2.79846e+09,1.92161e+07,3.55773e+08
"BM_KWAY_MERGE/16/33554432/iterations:5/manual_time",5,141.504,142.165,ms,,,,,,16,0,3.35544e+07,4.5819e+08,3.25302e+09,0,181564,0,0,3.32852e+09,3.33394e+09,9.78432e+06,3.31577e+08
"BM_KWAY_MERGE/32/33554432/iterations:5/manual_time",5,162.612,162.634,ms,,,,,,32,0,3.35544e+07,5.2643e+08,3.74139e+09,0,124198,0,0,3.85884e+09,3.86538e+09,1.24368e+07,3.46054e+08
"BM_KWAY_MERGE/64/33554432/iterations:5/manual_time",5,186.431,186.468,ms,,,,,,64,0,3.35544e+07,6.03585e+08,4.27152e+09,0,85811,0,0,4.43458e+09,4.44276e+09,1.63946e+07,3.85912e+08
"BM_KWAY_MERGE/128/33554432/iterations:5/manual_time",5,211.895,213.154,ms,,,,,,128,0,3.35544e+07,6.86036e+08,4.81518e+09,0,80286.6,0,0,5.03512e+09,5.04606e+09,2.2893e+07,4.42229e+08
"BM_KWAY_MERGE/256/33554432/iterations:5/manual_time",5,240.967,241.034,ms,,,,,,256,0,3.35544e+07,7.80236e+08,5.3889e+09,0,77403,0,0,5.67045e+09,5.6853e+09,3.39431e+07,5.56585e+08
"BM_KWAY_MERGE/512/33554432/iterations:5/manual_time",5,268.118,268.216,ms,,,,,,512,0,3.35544e+07,8.68269e+08,5.96108e+09,0,76571.4,0,0,6.30215e+09,6.31707e+09,3.08553e+07,6.29087e+08
"BM_KWAY_MERGE/1024/33554432/iterations:5/manual_time",5,297.194,298.372,ms,,,,,,1024,0,3.35544e+07,9.62734e+08,6.62024e+09,0,79212.2,0,0,7.02633e+09,7.04229e+09,4.86591e+07,6.59588e+08
"BM_KWAY_MERGE/2048/33554432/iterations:5/manual_time",5,421.14,422.216,ms,,,,,,2048,0,3.35544e+07,1.36346e+09,7.23113e+09,0,110084,0,0,7.703e+09,7.71538e+09,2.7424e+08,3.19228e+09
