2025-05-05T12:14:10+00:00
Running ./hyriseBenchmarkPlayground
Run on (192 X 512 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x48)
  L1 Instruction 48 KiB (x48)
  L2 Unified 1024 KiB (x48)
  L3 Unified 4096 KiB (x48)
Load Average: 0.65, 0.33, 0.20
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Fan-in","Tuples","cpu-cycles","instructions"
"BM_MWAY_MERGE/4/16777216/1048576/manual_time",65,10.7502,10.7875,ms,,,,,,4,1.67772e+07,4.2612e+07,1.20247e+08
"BM_MWAY_MERGE/8/16777216/1048576/manual_time",29,24.1771,24.2276,ms,,,,,,8,1.67772e+07,9.57571e+07,2.62233e+08
"BM_MWAY_MERGE/16/16777216/1048576/manual_time",22,31.4869,31.5322,ms,,,,,,16,1.67772e+07,1.24687e+08,3.51922e+08
"BM_MWAY_MERGE/32/16777216/1048576/manual_time",17,40.3575,40.3917,ms,,,,,,32,1.67772e+07,1.59698e+08,4.47353e+08
"BM_MWAY_MERGE/64/16777216/1048576/manual_time",14,50.5953,50.673,ms,,,,,,64,1.67772e+07,2.00586e+08,5.61347e+08
"BM_MWAY_MERGE/128/16777216/1048576/manual_time",10,68.1416,68.2397,ms,,,,,,128,1.67772e+07,2.70125e+08,7.30451e+08
"BM_MWAY_MERGE/256/16777216/1048576/manual_time",7,99.622,99.8889,ms,,,,,,256,1.67772e+07,3.95116e+08,1.07936e+09
"BM_MWAY_MERGE/512/16777216/1048576/manual_time",4,183.374,183.605,ms,,,,,,512,1.67772e+07,7.28491e+08,2.11899e+09
"BM_MWAY_MERGE/1024/16777216/1048576/manual_time",2,460.72,460.643,ms,,,,,,1024,1.67772e+07,1.83789e+09,5.72741e+09
"BM_MWAY_MERGE/2048/16777216/1048576/manual_time",1,1543.73,1543.99,ms,,,,,,2048,1.67772e+07,6.16195e+09,2.04073e+10
"BM_MWAY_MERGE/4/16777216/4194304/manual_time",59,11.6869,11.7402,ms,,,,,,4,1.67772e+07,4.63385e+07,1.22065e+08
"BM_MWAY_MERGE/8/16777216/4194304/manual_time",28,25.2709,25.3257,ms,,,,,,8,1.67772e+07,1.00052e+08,2.61456e+08
"BM_MWAY_MERGE/16/16777216/4194304/manual_time",22,31.8688,31.915,ms,,,,,,16,1.67772e+07,1.26188e+08,3.4911e+08
"BM_MWAY_MERGE/32/16777216/4194304/manual_time",18,38.8883,38.9358,ms,,,,,,32,1.67772e+07,1.53968e+08,4.38392e+08
"BM_MWAY_MERGE/64/16777216/4194304/manual_time",15,46.9943,47.1167,ms,,,,,,64,1.67772e+07,1.86246e+08,5.31325e+08
"BM_MWAY_MERGE/128/16777216/4194304/manual_time",12,57.5136,57.5972,ms,,,,,,128,1.67772e+07,2.2803e+08,6.39498e+08
"BM_MWAY_MERGE/256/16777216/4194304/manual_time",10,70.8655,70.9925,ms,,,,,,256,1.67772e+07,2.81067e+08,7.93853e+08
"BM_MWAY_MERGE/512/16777216/4194304/manual_time",7,97.6716,98.0296,ms,,,,,,512,1.67772e+07,3.88027e+08,1.11031e+09
"BM_MWAY_MERGE/1024/16777216/4194304/manual_time",4,174.084,174.207,ms,,,,,,1024,1.67772e+07,6.90632e+08,2.03615e+09
"BM_MWAY_MERGE/2048/16777216/4194304/manual_time",2,414.76,414.974,ms,,,,,,2048,1.67772e+07,1.6553e+09,5.33048e+09
"BM_KWAY_MERGE/4/16777216/manual_time",5,135.683,135.69,ms,,,,,,4,1.67772e+07,5.36553e+08,1.38833e+09
"BM_KWAY_MERGE/8/16777216/manual_time",4,159.97,159.999,ms,,,,,,8,1.67772e+07,6.32889e+08,1.69243e+09
"BM_KWAY_MERGE/16/16777216/manual_time",4,187.836,187.884,ms,,,,,,16,1.67772e+07,7.44169e+08,2.00074e+09
"BM_KWAY_MERGE/32/16777216/manual_time",3,216.421,216.483,ms,,,,,,32,1.67772e+07,8.59193e+08,2.21679e+09
"BM_KWAY_MERGE/64/16777216/manual_time",3,259.542,259.92,ms,,,,,,64,1.67772e+07,1.03277e+09,2.45369e+09
"BM_KWAY_MERGE/128/16777216/manual_time",2,319.208,319.176,ms,,,,,,128,1.67772e+07,1.27193e+09,2.71187e+09
"BM_KWAY_MERGE/256/16777216/manual_time",2,394.919,395.061,ms,,,,,,256,1.67772e+07,1.57572e+09,2.9943e+09
"BM_KWAY_MERGE/512/16777216/manual_time",2,464.122,464.692,ms,,,,,,512,1.67772e+07,1.85267e+09,3.25541e+09
"BM_KWAY_MERGE/1024/16777216/manual_time",1,704.75,705.088,ms,,,,,,1024,1.67772e+07,2.81373e+09,3.57434e+09
"BM_KWAY_MERGE/2048/16777216/manual_time",1,853.583,853.922,ms,,,,,,2048,1.67772e+07,3.40786e+09,3.86186e+09
